Date,Indicator
1987-01-01,62.824
1987-02-01,63.386
1987-03-01,63.874
1987-04-01,64.568
1987-05-01,65.565
1987-06-01,66.591
1987-07-01,67.538
1987-08-01,68.248
1987-09-01,68.874
1987-10-01,69.417
1987-11-01,69.760
1987-12-01,70.217
1988-01-01,70.445
1988-02-01,70.768
1988-03-01,71.120
1988-04-01,71.651
1988-05-01,72.477
1988-06-01,73.631
1988-07-01,74.807
1988-08-01,75.696
1988-09-01,76.404
1988-10-01,76.896
1988-11-01,77.281
1988-12-01,77.577
1989-01-01,77.986
1989-02-01,78.363
1989-03-01,79.117
1989-04-01,79.826
1989-05-01,80.516
1989-06-01,81.236
1989-07-01,81.655
1989-08-01,82.078
1989-09-01,82.250
1989-10-01,82.436
1989-11-01,82.435
1989-12-01,82.353
1990-01-01,82.294
1990-02-01,82.152
1990-03-01,82.017
1990-04-01,82.048
1990-05-01,82.014
1990-06-01,82.187
1990-07-01,82.102
1990-08-01,81.863
1990-09-01,81.393
1990-10-01,80.838
1990-11-01,80.094
1990-12-01,79.380
1991-01-01,78.532
1991-02-01,77.773
1991-03-01,77.004
1991-04-01,76.858
1991-05-01,77.306
1991-06-01,78.020
1991-07-01,78.608
1991-08-01,78.935
1991-09-01,78.881
1991-10-01,78.684
1991-11-01,78.311
1991-12-01,77.991
1992-01-01,77.740
1992-02-01,77.505
1992-03-01,77.305
1992-04-01,77.356
1992-05-01,77.622
1992-06-01,77.938
1992-07-01,77.952
1992-08-01,77.993
1992-09-01,77.756
1992-10-01,77.454
1992-11-01,77.095
1992-12-01,76.682
1993-01-01,76.556
1993-02-01,76.277
1993-03-01,75.912
1993-04-01,75.829
1993-05-01,76.036
1993-06-01,76.508
1993-07-01,76.610
1993-08-01,76.585
1993-09-01,76.466
1993-10-01,76.216
1993-11-01,76.016
1993-12-01,75.708
1994-01-01,75.709
1994-02-01,75.631
1994-03-01,75.735
1994-04-01,76.027
1994-05-01,76.490
1994-06-01,77.036
1994-07-01,77.404
1994-08-01,77.644
1994-09-01,77.574
1994-10-01,77.503
1994-11-01,77.227
1994-12-01,76.990
1995-01-01,76.817
1995-02-01,76.640
1995-03-01,76.382
1995-04-01,76.359
1995-05-01,76.603
1995-06-01,76.942
1995-07-01,77.258
1995-08-01,77.467
1995-09-01,77.430
1995-10-01,77.260
1995-11-01,76.945
1995-12-01,76.681
1996-01-01,76.563
1996-02-01,76.436
1996-03-01,76.492
1996-04-01,76.836
1996-05-01,77.329
1996-06-01,77.775
1996-07-01,78.099
1996-08-01,78.358
1996-09-01,78.370
1996-10-01,78.356
1996-11-01,78.226
1996-12-01,78.124
1997-01-01,78.084
1997-02-01,77.981
1997-03-01,78.292
1997-04-01,78.762
1997-05-01,79.417
1997-06-01,80.250
1997-07-01,80.855
1997-08-01,81.405
1997-09-01,81.568
1997-10-01,81.833
1997-11-01,81.982
1997-12-01,82.308
1998-01-01,82.701
1998-02-01,83.129
1998-03-01,83.871
1998-04-01,84.695
1998-05-01,85.770
1998-06-01,87.027
1998-07-01,88.141
1998-08-01,89.015
1998-09-01,89.577
1998-10-01,89.803
1998-11-01,89.759
1998-12-01,89.818
1999-01-01,90.057
1999-02-01,90.485
1999-03-01,91.312
1999-04-01,92.549
1999-05-01,93.692
1999-06-01,95.095
1999-07-01,96.279
1999-08-01,97.310
1999-09-01,97.985
1999-10-01,98.480
1999-11-01,98.939
1999-12-01,99.515
2000-01-01,100.000
2000-02-01,100.812
2000-03-01,102.240
2000-04-01,104.005
2000-05-01,105.975
2000-06-01,107.829
2000-07-01,109.021
2000-08-01,110.071
2000-09-01,110.904
2000-10-01,111.751
2000-11-01,112.596
2000-12-01,113.555
2001-01-01,114.575
2001-02-01,115.450
2001-03-01,116.688
2001-04-01,117.935
2001-05-01,118.939
2001-06-01,120.027
2001-07-01,121.006
2001-08-01,121.993
2001-09-01,122.888
2001-10-01,123.457
2001-11-01,123.779
2001-12-01,123.643
2002-01-01,123.926
2002-02-01,124.450
2002-03-01,125.923
2002-04-01,127.951
2002-05-01,130.335
2002-06-01,132.760
2002-07-01,135.044
2002-08-01,137.041
2002-09-01,138.623
2002-10-01,140.123
2002-11-01,141.259
2002-12-01,142.185
2003-01-01,142.858
2003-02-01,143.587
2003-03-01,144.842
2003-04-01,146.446
2003-05-01,148.165
2003-06-01,149.702
2003-07-01,151.654
2003-08-01,153.606
2003-09-01,155.768
2003-10-01,157.712
2003-11-01,159.548
2003-12-01,161.270
2004-01-01,162.902
2004-02-01,164.817
2004-03-01,167.910
2004-04-01,171.581
2004-05-01,175.434
2004-06-01,179.448
2004-07-01,182.688
2004-08-01,184.955
2004-09-01,186.912
2004-10-01,188.647
2004-11-01,190.076
2004-12-01,191.419
2005-01-01,193.350
2005-02-01,195.875
2005-03-01,199.211
2005-04-01,202.512
2005-05-01,205.760
2005-06-01,208.859
2005-07-01,211.647
2005-08-01,214.135
2005-09-01,216.770
2005-10-01,219.074
2005-11-01,220.809
2005-12-01,221.906
2006-01-01,222.461
2006-02-01,223.378
2006-03-01,223.751
2006-04-01,224.989
2006-05-01,225.994
2006-06-01,226.289
2006-07-01,226.168
2006-08-01,225.541
2006-09-01,225.097
