Date,Indicator
2000-01-01,100.590
2000-02-01,101.692
2000-03-01,102.784
2000-04-01,103.996
2000-05-01,105.253
2000-06-01,106.403
2000-07-01,107.134
2000-08-01,107.861
2000-09-01,108.610
2000-10-01,109.487
2000-11-01,110.572
2000-12-01,111.801
2001-01-01,113.053
2001-02-01,114.127
2001-03-01,115.085
2001-04-01,115.841
2001-05-01,116.301
2001-06-01,116.900
2001-07-01,117.497
2001-08-01,118.245
2001-09-01,119.028
2001-10-01,119.694
2001-11-01,120.275
2001-12-01,120.672
2002-01-01,121.360
2002-02-01,122.191
2002-03-01,123.321
2002-04-01,124.508
2002-05-01,125.924
2002-06-01,127.388
2002-07-01,128.880
2002-08-01,130.307
2002-09-01,131.527
2002-10-01,132.847
2002-11-01,134.097
2002-12-01,135.405
2003-01-01,136.467
2003-02-01,137.453
2003-03-01,138.379
2003-04-01,139.250
2003-05-01,140.147
2003-06-01,140.920
2003-07-01,142.119
2003-08-01,143.552
2003-09-01,145.261
2003-10-01,146.990
2003-11-01,148.823
2003-12-01,150.759
2004-01-01,152.625
2004-02-01,154.537
2004-03-01,156.918
2004-04-01,159.360
2004-05-01,161.751
2004-06-01,164.305
2004-07-01,166.387
2004-08-01,168.072
2004-09-01,169.654
2004-10-01,171.297
2004-11-01,173.087
2004-12-01,175.086
2005-01-01,177.546
2005-02-01,180.249
2005-03-01,183.188
2005-04-01,185.515
2005-05-01,187.550
2005-06-01,189.530
2005-07-01,191.379
2005-08-01,193.367
2005-09-01,195.620
2005-10-01,197.883
2005-11-01,200.148
2005-12-01,202.177
2006-01-01,203.771
2006-02-01,205.363
2006-03-01,206.147
2006-04-01,206.656
2006-05-01,206.510
2006-06-01,205.807
2006-07-01,204.936
2006-08-01,204.112
2006-09-01,203.586
2006-10-01,203.550
2006-11-01,203.653
2006-12-01,203.475
2007-01-01,203.743
2007-02-01,204.071
2007-03-01,203.948
2007-04-01,202.881
2007-05-01,201.034
2007-06-01,198.847
2007-07-01,196.845
2007-08-01,194.893
2007-09-01,193.125
2007-10-01,190.980
2007-11-01,187.905
2007-12-01,185.100
2008-01-01,182.140
2008-02-01,178.550
2008-03-01,175.114
2008-04-01,172.443
2008-05-01,169.561
2008-06-01,167.178
2008-07-01,164.400
2008-08-01,162.116
2008-09-01,159.115
2008-10-01,156.297
2008-11-01,153.659
2008-12-01,150.728
2009-01-01,147.716
2009-02-01,145.613
2009-03-01,142.720
2009-04-01,141.560
2009-05-01,140.842
2009-06-01,141.291
2009-07-01,142.250
2009-08-01,143.477
2009-09-01,144.072
2009-10-01,144.796
2009-11-01,145.474
2009-12-01,146.248
2010-01-01,146.932
2010-02-01,146.910
2010-03-01,146.228
2010-04-01,147.061
2010-05-01,147.270
2010-06-01,147.040
2010-07-01,146.406
2010-08-01,145.544
2010-09-01,144.555
2010-10-01,143.627
2010-11-01,143.282
2010-12-01,142.967
2011-01-01,142.590
2011-02-01,142.038
2011-03-01,140.423
2011-04-01,140.689
2011-05-01,140.425
2011-06-01,140.359
2011-07-01,140.325
2011-08-01,140.051
2011-09-01,139.424
2011-10-01,138.660
2011-11-01,137.943
2011-12-01,137.373
2012-01-01,137.146
2012-02-01,136.993
2012-03-01,136.622
2012-04-01,137.874
2012-05-01,139.450
2012-06-01,141.018
2012-07-01,141.965
2012-08-01,142.953
2012-09-01,143.830
2012-10-01,144.808
2012-11-01,145.813
2012-12-01,147.112
2013-01-01,148.330
2013-02-01,149.568
2013-03-01,150.964
2013-04-01,153.856
2013-05-01,156.003
2013-06-01,157.831
2013-07-01,159.605
2013-08-01,161.555
2013-09-01,163.291
2013-10-01,164.811
2013-11-01,166.020
2013-12-01,166.917
2014-01-01,167.856
2014-02-01,168.471
2014-03-01,169.183
2014-04-01,169.926
2014-05-01,170.230
2014-06-01,170.532
2014-07-01,170.640
2014-08-01,170.961
2014-09-01,171.483
2014-10-01,172.410
2014-11-01,173.176
2014-12-01,174.208
2015-01-01,175.047
2015-02-01,176.289
2015-03-01,176.965
2015-04-01,177.711
2015-05-01,178.286
2015-06-01,178.842
2015-07-01,179.390
2015-08-01,179.999
2015-09-01,180.922
2015-10-01,181.922
2015-11-01,183.013
2015-12-01,183.851
2016-01-01,184.680
2016-02-01,185.338
2016-03-01,186.091
2016-04-01,186.918
2016-05-01,187.427
2016-06-01,188.073
2016-07-01,188.755
2016-08-01,189.555
2016-09-01,190.376
2016-10-01,191.274
2016-11-01,192.492
2016-12-01,193.784
2017-01-01,195.034
2017-02-01,195.870
2017-03-01,196.583
2017-04-01,197.230
2017-05-01,198.024
2017-06-01,198.763
2017-07-01,199.954
2017-08-01,200.939
2017-09-01,202.331
2017-10-01,203.497
2017-11-01,204.796
2017-12-01,205.967
2018-01-01,207.385
2018-02-01,208.794
2018-03-01,209.438
2018-04-01,209.932
2018-05-01,210.569
2018-06-01,211.208
2018-07-01,211.777
2018-08-01,212.258
2018-09-01,212.961
2018-10-01,213.646
2018-11-01,214.071
2018-12-01,214.447
2019-01-01,214.553
2019-02-01,214.684
2019-03-01,214.455
2019-04-01,214.767
2019-05-01,215.175
2019-06-01,215.566
2019-07-01,215.996
2019-08-01,216.667
2019-09-01,217.537
2019-10-01,218.575
2019-11-01,219.678
2019-12-01,220.774
2020-01-01,221.496
2020-02-01,222.364
2020-03-01,222.702
2020-04-01,222.771
2020-05-01,222.523
2020-06-01,222.827
2020-07-01,224.846
2020-08-01,228.400
2020-09-01,232.284
2020-10-01,236.450
2020-11-01,240.191
2020-12-01,243.656
2021-01-01,246.691
2021-02-01,249.607
2021-03-01,252.770
2021-04-01,256.292
2021-05-01,260.465
2021-06-01,265.217
2021-07-01,269.554
2021-08-01,273.293
2021-09-01,276.757
2021-10-01,280.324
2021-11-01,284.361
2021-12-01,289.091
2022-01-01,293.922
2022-02-01,300.597
2022-03-01,306.425
2022-04-01,310.588
2022-05-01,313.468
2022-06-01,314.278
2022-07-01,312.488
2022-08-01,309.188
2022-09-01,306.001
2022-10-01,305.086
2022-11-01,304.344
2022-12-01,303.251
2023-01-01,302.301
2023-02-01,302.606
2023-03-01,303.554
2023-04-01,305.499
2023-05-01,307.858
2023-06-01,310.323
2023-07-01,312.927
2023-08-01,316.124
2023-09-01,318.425
2023-10-01,320.522
2023-11-01,321.499
2023-12-01,322.634
2024-01-01,322.949
2024-02-01,325.265
2024-03-01,326.275
2024-04-01,327.595
2024-05-01,328.896
2024-06-01,330.440
2024-07-01,331.327
