Date,Indicator
1987-01-01,70.267
1987-02-01,70.641
1987-03-01,71.047
1987-04-01,71.412
1987-05-01,71.883
1987-06-01,72.296
1987-07-01,72.621
1987-08-01,73.163
1987-09-01,73.749
1987-10-01,74.007
1987-11-01,74.418
1987-12-01,74.580
1988-01-01,74.661
1988-02-01,74.589
1988-03-01,74.478
1988-04-01,74.527
1988-05-01,74.812
1988-06-01,75.004
1988-07-01,75.032
1988-08-01,74.841
1988-09-01,74.710
1988-10-01,74.600
1988-11-01,74.639
1988-12-01,74.695
1989-01-01,74.520
1989-02-01,75.167
1989-03-01,75.555
1989-04-01,75.394
1989-05-01,75.043
1989-06-01,74.516
1989-07-01,74.181
1989-08-01,73.435
1989-09-01,73.010
1989-10-01,72.717
1989-11-01,72.991
1989-12-01,73.001
1990-01-01,73.097
1990-02-01,72.873
1990-03-01,72.193
1990-04-01,71.647
1990-05-01,70.693
1990-06-01,69.990
1990-07-01,69.355
1990-08-01,68.905
1990-09-01,68.604
1990-10-01,68.084
1990-11-01,67.123
1990-12-01,66.192
1991-01-01,65.310
1991-02-01,64.751
1991-03-01,64.451
1991-04-01,64.033
1991-05-01,64.086
1991-06-01,64.063
1991-07-01,64.012
1991-08-01,64.096
1991-09-01,64.136
1991-10-01,64.107
1991-11-01,63.863
1991-12-01,63.807
1992-01-01,63.559
1992-02-01,63.560
1992-03-01,63.811
1992-04-01,64.401
1992-05-01,64.351
1992-06-01,64.147
1992-07-01,63.940
1992-08-01,63.967
1992-09-01,63.905
1992-10-01,64.030
1992-11-01,64.033
1992-12-01,64.468
1993-01-01,64.861
1993-02-01,64.950
1993-03-01,64.824
1993-04-01,64.708
1993-05-01,64.835
1993-06-01,65.145
1993-07-01,65.518
1993-08-01,65.732
1993-09-01,65.848
1993-10-01,65.884
1993-11-01,66.224
1993-12-01,66.517
1994-01-01,66.818
1994-02-01,67.068
1994-03-01,67.469
1994-04-01,68.026
1994-05-01,67.931
1994-06-01,68.127
1994-07-01,68.163
1994-08-01,68.287
1994-09-01,68.442
1994-10-01,68.656
1994-11-01,68.791
1994-12-01,68.780
1995-01-01,68.794
1995-02-01,69.012
1995-03-01,69.126
1995-04-01,68.981
1995-05-01,69.094
1995-06-01,69.389
1995-07-01,69.697
1995-08-01,70.026
1995-09-01,70.124
1995-10-01,70.142
1995-11-01,70.112
1995-12-01,70.266
1996-01-01,70.681
1996-02-01,70.957
1996-03-01,71.393
1996-04-01,71.657
1996-05-01,71.819
1996-06-01,72.084
1996-07-01,72.437
1996-08-01,72.932
1996-09-01,73.018
1996-10-01,73.324
1996-11-01,73.476
1996-12-01,74.196
1997-01-01,74.608
1997-02-01,74.906
1997-03-01,75.354
1997-04-01,75.726
1997-05-01,76.133
1997-06-01,76.495
1997-07-01,76.753
1997-08-01,77.074
1997-09-01,77.442
1997-10-01,78.002
1997-11-01,78.619
1997-12-01,79.285
1998-01-01,79.899
1998-02-01,80.574
1998-03-01,81.178
1998-04-01,81.946
1998-05-01,82.793
1998-06-01,83.684
1998-07-01,84.490
1998-08-01,85.278
1998-09-01,86.202
1998-10-01,86.575
1998-11-01,86.884
1998-12-01,87.788
1999-01-01,89.242
1999-02-01,90.561
1999-03-01,91.289
1999-04-01,92.153
1999-05-01,92.999
1999-06-01,93.801
1999-07-01,95.078
1999-08-01,96.080
1999-09-01,97.205
1999-10-01,98.212
1999-11-01,99.271
1999-12-01,100.358
2000-01-01,100.920
2000-02-01,101.894
2000-03-01,102.651
2000-04-01,104.348
2000-05-01,106.010
2000-06-01,107.930
2000-07-01,108.925
2000-08-01,110.129
2000-09-01,111.371
2000-10-01,112.969
2000-11-01,114.770
2000-12-01,116.950
2001-01-01,118.838
2001-02-01,120.407
2001-03-01,121.556
2001-04-01,122.740
2001-05-01,123.178
2001-06-01,124.440
2001-07-01,125.601
2001-08-01,126.943
2001-09-01,128.146
2001-10-01,129.133
2001-11-01,130.182
2001-12-01,130.510
2002-01-01,131.353
2002-02-01,131.774
2002-03-01,132.968
2002-04-01,134.528
2002-05-01,136.682
2002-06-01,138.772
2002-07-01,140.542
2002-08-01,142.308
2002-09-01,144.203
2002-10-01,145.848
2002-11-01,147.409
2002-12-01,147.858
2003-01-01,148.525
2003-02-01,149.698
2003-03-01,150.973
2003-04-01,151.642
2003-05-01,151.879
2003-06-01,152.379
2003-07-01,152.892
2003-08-01,153.565
2003-09-01,154.607
2003-10-01,155.902
2003-11-01,157.683
2003-12-01,159.303
2004-01-01,160.573
2004-02-01,161.987
2004-03-01,163.253
2004-04-01,165.531
2004-05-01,166.175
2004-06-01,167.517
2004-07-01,168.141
2004-08-01,169.289
2004-09-01,170.159
2004-10-01,172.048
2004-11-01,173.052
2004-12-01,174.319
2005-01-01,175.760
2005-02-01,177.936
2005-03-01,179.460
2005-04-01,180.493
2005-05-01,180.710
2005-06-01,180.083
2005-07-01,180.012
2005-08-01,179.701
2005-09-01,180.148
2005-10-01,180.013
2005-11-01,180.812
2005-12-01,180.438
2006-01-01,180.627
2006-02-01,179.544
2006-03-01,180.050
2006-04-01,179.342
2006-05-01,178.326
2006-06-01,176.495
2006-07-01,175.602
2006-08-01,174.918
2006-09-01,173.848
2006-10-01,173.731
2006-11-01,171.911
2006-12-01,171.288
2007-01-01,170.578
2007-02-01,171.282
2007-03-01,171.851
2007-04-01,171.649
2007-05-01,170.934
2007-06-01,169.707
2007-07-01,169.229
2007-08-01,167.987
2007-09-01,168.041
2007-10-01,167.412
2007-11-01,166.958
2007-12-01,165.529
2008-01-01,164.754
2008-02-01,163.532
2008-03-01,162.223
2008-04-01,160.953
2008-05-01,160.577
2008-06-01,160.547
2008-07-01,159.674
2008-08-01,159.492
2008-09-01,158.221
2008-10-01,157.436
2008-11-01,154.843
2008-12-01,153.998
2009-01-01,152.677
2009-02-01,151.910
2009-03-01,149.672
2009-04-01,148.791
2009-05-01,149.164
2009-06-01,150.841
2009-07-01,151.369
2009-08-01,152.392
2009-09-01,152.803
2009-10-01,153.145
2009-11-01,154.080
2009-12-01,154.835
2010-01-01,154.978
2010-02-01,154.734
2010-03-01,155.617
2010-04-01,156.041
2010-05-01,156.411
2010-06-01,155.726
2010-07-01,155.267
2010-08-01,154.506
2010-09-01,153.388
2010-10-01,152.999
2010-11-01,153.065
2010-12-01,153.703
2011-01-01,154.205
2011-02-01,153.243
2011-03-01,151.378
2011-04-01,149.238
2011-05-01,151.179
2011-06-01,152.327
2011-07-01,152.161
2011-08-01,151.786
2011-09-01,151.608
2011-10-01,151.609
2011-11-01,150.811
2011-12-01,149.829
2012-01-01,149.916
2012-02-01,149.598
2012-03-01,149.626
2012-04-01,148.975
2012-05-01,150.667
2012-06-01,152.273
2012-07-01,153.648
2012-08-01,154.642
2012-09-01,154.629
2012-10-01,154.221
2012-11-01,154.281
2012-12-01,155.275
2013-01-01,155.999
2013-02-01,157.326
2013-03-01,159.106
2013-04-01,160.633
2013-05-01,161.646
2013-06-01,162.539
2013-07-01,163.572
2013-08-01,164.816
2013-09-01,166.519
2013-10-01,167.680
2013-11-01,169.473
2013-12-01,170.307
2014-01-01,170.234
2014-02-01,170.467
2014-03-01,171.451
2014-04-01,174.665
2014-05-01,174.758
2014-06-01,173.983
2014-07-01,173.154
2014-08-01,173.484
2014-09-01,174.166
2014-10-01,175.024
2014-11-01,175.977
2014-12-01,176.641
2015-01-01,178.246
2015-02-01,178.801
2015-03-01,178.695
2015-04-01,177.185
2015-05-01,178.381
2015-06-01,179.697
2015-07-01,180.965
2015-08-01,181.826
2015-09-01,182.457
2015-10-01,183.651
2015-11-01,183.875
2015-12-01,184.447
2016-01-01,184.550
2016-02-01,185.228
2016-03-01,186.173
2016-04-01,186.900
2016-05-01,188.176
2016-06-01,188.147
2016-07-01,188.774
2016-08-01,189.602
2016-09-01,190.535
2016-10-01,191.910
2016-11-01,193.768
2016-12-01,195.783
2017-01-01,197.360
2017-02-01,198.971
2017-03-01,199.746
2017-04-01,198.940
2017-05-01,199.342
2017-06-01,199.920
2017-07-01,201.943
2017-08-01,203.031
2017-09-01,204.560
2017-10-01,205.192
2017-11-01,205.693
2017-12-01,206.521
2018-01-01,207.941
2018-02-01,210.602
2018-03-01,210.606
2018-04-01,211.875
2018-05-01,212.810
2018-06-01,213.501
2018-07-01,213.731
2018-08-01,214.239
2018-09-01,214.952
2018-10-01,216.188
2018-11-01,217.058
2018-12-01,217.263
2019-01-01,217.449
2019-02-01,217.351
2019-03-01,218.365
2019-04-01,219.637
2019-05-01,219.957
2019-06-01,221.299
2019-07-01,221.889
2019-08-01,222.686
2019-09-01,222.576
2019-10-01,223.791
2019-11-01,225.556
2019-12-01,227.146
2020-01-01,227.499
2020-02-01,228.049
2020-03-01,228.721
2020-04-01,228.787
2020-05-01,228.915
2020-06-01,228.730
2020-07-01,231.533
2020-08-01,235.354
2020-09-01,239.988
2020-10-01,245.005
2020-11-01,249.394
2020-12-01,253.428
2021-01-01,256.731
2021-02-01,259.522
2021-03-01,262.760
2021-04-01,265.420
2021-05-01,268.164
2021-06-01,270.713
2021-07-01,274.566
2021-08-01,276.954
2021-09-01,280.371
2021-10-01,282.135
2021-11-01,283.329
2021-12-01,287.776
2022-01-01,291.178
2022-02-01,297.531
2022-03-01,301.406
2022-04-01,305.216
2022-05-01,309.770
2022-06-01,310.750
2022-07-01,310.881
2022-08-01,308.446
2022-09-01,305.067
2022-10-01,303.764
2022-11-01,303.212
2022-12-01,303.145
2023-01-01,303.739
2023-02-01,304.164
2023-03-01,303.858
2023-04-01,307.698
2023-05-01,310.064
2023-06-01,313.119
2023-07-01,314.618
2023-08-01,318.059
2023-09-01,321.084
2023-10-01,323.952
2023-11-01,324.939
2023-12-01,325.454
2024-01-01,325.337
2024-02-01,328.521
2024-03-01,330.108
2024-04-01,332.126
2024-05-01,332.376
2024-06-01,333.518
2024-07-01,334.823
