Date,Indicator
1987-01-01,54.206
1987-02-01,55.227
1987-03-01,54.811
1987-04-01,54.802
1987-05-01,55.477
1987-06-01,56.060
1987-07-01,57.109
1987-08-01,57.612
1987-09-01,58.270
1987-10-01,59.006
1987-11-01,59.712
1987-12-01,61.075
1988-01-01,61.972
1988-02-01,63.446
1988-03-01,64.509
1988-04-01,65.151
1988-05-01,65.572
1988-06-01,66.464
1988-07-01,66.552
1988-08-01,67.752
1988-09-01,68.025
1988-10-01,69.035
1988-11-01,68.646
1988-12-01,68.511
1989-01-01,68.330
1989-02-01,69.009
1989-03-01,70.074
1989-04-01,70.654
1989-05-01,70.505
1989-06-01,70.522
1989-07-01,70.328
1989-08-01,70.374
1989-09-01,70.179
1989-10-01,70.061
1989-11-01,69.870
1989-12-01,69.679
1990-01-01,69.356
1990-02-01,68.701
1990-03-01,68.904
1990-04-01,69.476
1990-05-01,69.995
1990-06-01,70.251
1990-07-01,70.662
1990-08-01,70.580
1990-09-01,70.944
1990-10-01,70.718
1990-11-01,70.963
1990-12-01,70.751
1991-01-01,70.839
1991-02-01,71.098
1991-03-01,70.945
1991-04-01,71.236
1991-05-01,71.396
1991-06-01,71.319
1991-07-01,71.583
1991-08-01,71.792
1991-09-01,71.966
1991-10-01,72.181
1991-11-01,72.372
1991-12-01,73.014
1992-01-01,73.425
1992-02-01,73.718
1992-03-01,73.892
1992-04-01,73.226
1992-05-01,73.420
1992-06-01,74.131
1992-07-01,74.900
1992-08-01,74.978
1992-09-01,75.235
1992-10-01,75.546
1992-11-01,75.911
1992-12-01,75.849
1993-01-01,76.012
1993-02-01,76.009
1993-03-01,76.215
1993-04-01,76.325
1993-05-01,76.693
1993-06-01,77.293
1993-07-01,77.549
1993-08-01,77.628
1993-09-01,77.812
1993-10-01,78.112
1993-11-01,78.426
1993-12-01,79.107
1994-01-01,80.194
1994-02-01,80.171
1994-03-01,80.079
1994-04-01,80.205
1994-05-01,80.569
1994-06-01,80.616
1994-07-01,80.660
1994-08-01,80.910
1994-09-01,81.176
1994-10-01,81.617
1994-11-01,81.716
1994-12-01,81.861
1995-01-01,81.883
1995-02-01,82.154
1995-03-01,82.282
1995-04-01,82.347
1995-05-01,82.316
1995-06-01,82.517
1995-07-01,82.847
1995-08-01,83.109
1995-09-01,83.429
1995-10-01,83.512
1995-11-01,83.876
1995-12-01,83.960
1996-01-01,84.259
1996-02-01,83.917
1996-03-01,84.017
1996-04-01,84.828
1996-05-01,85.057
1996-06-01,85.211
1996-07-01,85.175
1996-08-01,85.310
1996-09-01,85.539
1996-10-01,85.812
1996-11-01,86.120
1996-12-01,86.452
1997-01-01,86.520
1997-02-01,86.530
1997-03-01,86.830
1997-04-01,86.925
1997-05-01,86.889
1997-06-01,86.890
1997-07-01,87.222
1997-08-01,87.564
1997-09-01,87.967
1997-10-01,88.325
1997-11-01,88.921
1997-12-01,89.379
1998-01-01,90.187
1998-02-01,90.543
1998-03-01,90.700
1998-04-01,90.669
1998-05-01,90.992
1998-06-01,91.563
1998-07-01,91.807
1998-08-01,92.153
1998-09-01,92.274
1998-10-01,92.516
1998-11-01,92.109
1998-12-01,92.658
1999-01-01,92.942
1999-02-01,93.522
1999-03-01,93.625
1999-04-01,94.654
1999-05-01,95.433
1999-06-01,96.318
1999-07-01,96.630
1999-08-01,97.175
1999-09-01,97.750
1999-10-01,98.661
1999-11-01,99.405
1999-12-01,100.143
2000-01-01,100.565
2000-02-01,101.411
2000-03-01,102.428
2000-04-01,103.411
2000-05-01,104.391
2000-06-01,105.509
2000-07-01,106.031
2000-08-01,106.423
2000-09-01,106.710
2000-10-01,106.978
2000-11-01,107.472
2000-12-01,108.149
2001-01-01,108.923
2001-02-01,109.521
2001-03-01,110.357
2001-04-01,111.289
2001-05-01,112.087
2001-06-01,113.216
2001-07-01,114.211
2001-08-01,115.251
2001-09-01,116.095
2001-10-01,116.521
2001-11-01,116.804
2001-12-01,117.090
2002-01-01,117.505
2002-02-01,118.121
2002-03-01,118.722
2002-04-01,119.635
2002-05-01,120.339
2002-06-01,121.053
2002-07-01,121.860
2002-08-01,122.635
2002-09-01,123.484
2002-10-01,124.351
2002-11-01,125.317
2002-12-01,126.366
2003-01-01,127.222
2003-02-01,128.211
2003-03-01,129.486
2003-04-01,129.783
2003-05-01,130.529
2003-06-01,131.023
2003-07-01,131.699
2003-08-01,132.195
2003-09-01,133.286
2003-10-01,134.447
2003-11-01,135.652
2003-12-01,137.041
2004-01-01,138.025
2004-02-01,138.762
2004-03-01,139.611
2004-04-01,140.171
2004-05-01,141.473
2004-06-01,142.315
2004-07-01,143.232
2004-08-01,143.848
2004-09-01,145.182
2004-10-01,146.166
2004-11-01,147.250
2004-12-01,148.585
2005-01-01,150.041
2005-02-01,151.823
2005-03-01,153.995
2005-04-01,154.604
2005-05-01,155.275
2005-06-01,156.073
2005-07-01,156.617
2005-08-01,156.555
2005-09-01,157.966
2005-10-01,159.154
2005-11-01,161.325
2005-12-01,162.646
2006-01-01,164.448
2006-02-01,165.921
2006-03-01,168.016
2006-04-01,167.617
2006-05-01,167.717
2006-06-01,167.155
2006-07-01,166.557
2006-08-01,166.020
2006-09-01,166.452
2006-10-01,166.482
2006-11-01,166.513
2006-12-01,166.959
2007-01-01,168.265
2007-02-01,169.483
2007-03-01,171.278
2007-04-01,168.768
2007-05-01,167.371
2007-06-01,165.974
2007-07-01,164.650
2007-08-01,162.940
2007-09-01,161.401
2007-10-01,160.303
2007-11-01,159.627
2007-12-01,159.351
2008-01-01,157.529
2008-02-01,155.969
2008-03-01,155.244
2008-04-01,153.931
2008-05-01,152.008
2008-06-01,149.960
2008-07-01,147.546
2008-08-01,145.939
2008-09-01,144.214
2008-10-01,142.347
2008-11-01,139.527
2008-12-01,136.711
2009-01-01,132.183
2009-02-01,129.403
2009-03-01,127.336
2009-04-01,125.863
2009-05-01,125.799
2009-06-01,124.520
2009-07-01,125.924
2009-08-01,126.640
2009-09-01,128.166
2009-10-01,127.569
2009-11-01,127.765
2009-12-01,127.122
2010-01-01,126.839
2010-02-01,126.221
2010-03-01,125.022
2010-04-01,124.272
2010-05-01,124.042
2010-06-01,124.020
2010-07-01,123.141
2010-08-01,122.246
2010-09-01,120.573
2010-10-01,119.224
2010-11-01,118.391
2010-12-01,118.113
2011-01-01,117.789
2011-02-01,117.145
2011-03-01,115.675
2011-04-01,113.668
2011-05-01,113.809
2011-06-01,114.371
2011-07-01,114.486
2011-08-01,114.862
2011-09-01,114.367
2011-10-01,113.660
2011-11-01,111.742
2011-12-01,110.811
2012-01-01,110.183
2012-02-01,109.090
2012-03-01,107.301
2012-04-01,107.033
2012-05-01,109.975
2012-06-01,112.025
2012-07-01,113.118
2012-08-01,112.974
2012-09-01,112.818
2012-10-01,112.549
2012-11-01,113.094
2012-12-01,113.642
2013-01-01,114.143
2013-02-01,114.729
2013-03-01,115.081
2013-04-01,116.585
2013-05-01,118.809
2013-06-01,119.860
2013-07-01,121.962
2013-08-01,123.161
2013-09-01,124.268
2013-10-01,125.361
2013-11-01,126.009
2013-12-01,126.741
2014-01-01,126.581
2014-02-01,126.801
2014-03-01,127.673
2014-04-01,128.355
2014-05-01,128.240
2014-06-01,127.859
2014-07-01,127.354
2014-08-01,127.516
2014-09-01,127.740
2014-10-01,128.050
2014-11-01,128.331
2014-12-01,128.427
2015-01-01,129.417
2015-02-01,130.291
2015-03-01,130.840
2015-04-01,130.501
2015-05-01,130.154
2015-06-01,129.764
2015-07-01,129.472
2015-08-01,129.370
2015-09-01,129.588
2015-10-01,130.001
2015-11-01,130.898
2015-12-01,131.384
2016-01-01,131.711
2016-02-01,132.035
2016-03-01,132.863
2016-04-01,133.510
2016-05-01,133.997
2016-06-01,133.859
2016-07-01,133.844
2016-08-01,133.607
2016-09-01,133.999
2016-10-01,134.048
2016-11-01,135.366
2016-12-01,136.811
2017-01-01,137.790
2017-02-01,138.127
2017-03-01,138.291
2017-04-01,138.189
2017-05-01,138.179
2017-06-01,138.182
