Date,Indicator
1987-01-01,50.348
1987-02-01,50.160
1987-03-01,50.383
1987-04-01,50.745
1987-05-01,50.764
1987-06-01,50.432
1987-07-01,50.204
1987-08-01,50.121
1987-09-01,50.058
1987-10-01,50.146
1987-11-01,49.734
1987-12-01,49.855
1988-01-01,49.551
1988-02-01,49.495
1988-03-01,49.061
1988-04-01,48.740
1988-05-01,48.350
1988-06-01,48.173
1988-07-01,48.225
1988-08-01,48.248
1988-09-01,48.213
1988-10-01,48.033
1988-11-01,47.749
1988-12-01,47.436
1989-01-01,47.470
1989-02-01,47.452
1989-03-01,47.529
1989-04-01,47.465
1989-05-01,47.597
1989-06-01,47.605
1989-07-01,47.503
1989-08-01,47.482
1989-09-01,47.601
1989-10-01,47.897
1989-11-01,48.110
1989-12-01,48.213
1990-01-01,48.240
1990-02-01,48.364
1990-03-01,48.496
1990-04-01,48.521
1990-05-01,48.469
1990-06-01,48.580
1990-07-01,48.655
1990-08-01,48.673
1990-09-01,48.757
1990-10-01,48.666
1990-11-01,48.753
1990-12-01,48.734
1991-01-01,48.940
1991-02-01,48.981
1991-03-01,49.060
1991-04-01,49.305
1991-05-01,49.551
1991-06-01,49.895
1991-07-01,50.330
1991-08-01,50.510
1991-09-01,50.654
1991-10-01,50.828
1991-11-01,51.044
1991-12-01,51.325
1992-01-01,51.523
1992-02-01,52.283
1992-03-01,53.067
1992-04-01,53.576
1992-05-01,53.799
1992-06-01,53.948
1992-07-01,54.137
1992-08-01,54.393
1992-09-01,54.716
1992-10-01,54.817
1992-11-01,55.243
1992-12-01,55.600
1993-01-01,56.127
1993-02-01,56.433
1993-03-01,56.954
1993-04-01,57.147
1993-05-01,57.565
1993-06-01,58.180
1993-07-01,58.810
1993-08-01,59.534
1993-09-01,60.141
1993-10-01,60.842
1993-11-01,61.430
1993-12-01,62.243
1994-01-01,62.819
1994-02-01,63.479
1994-03-01,63.940
1994-04-01,64.549
1994-05-01,65.046
1994-06-01,65.605
1994-07-01,65.962
1994-08-01,66.298
1994-09-01,66.515
1994-10-01,66.856
1994-11-01,67.184
1994-12-01,67.575
1995-01-01,67.955
1995-02-01,68.310
1995-03-01,68.601
1995-04-01,68.735
1995-05-01,69.156
1995-06-01,69.374
1995-07-01,69.818
1995-08-01,70.163
1995-09-01,70.700
1995-10-01,71.059
1995-11-01,71.357
1995-12-01,71.636
1996-01-01,71.736
1996-02-01,71.964
1996-03-01,72.336
1996-04-01,72.897
1996-05-01,73.330
1996-06-01,73.335
1996-07-01,73.527
1996-08-01,73.544
1996-09-01,73.896
1996-10-01,74.256
1996-11-01,74.740
1996-12-01,75.187
1997-01-01,75.390
1997-02-01,75.759
1997-03-01,76.175
1997-04-01,76.585
1997-05-01,76.944
1997-06-01,77.346
1997-07-01,77.804
1997-08-01,78.309
1997-09-01,78.443
1997-10-01,78.821
1997-11-01,79.333
1997-12-01,80.045
1998-01-01,80.654
1998-02-01,81.009
1998-03-01,81.235
1998-04-01,81.763
1998-05-01,82.417
1998-06-01,83.079
1998-07-01,83.741
1998-08-01,84.549
1998-09-01,85.254
1998-10-01,86.052
1998-11-01,86.802
1998-12-01,87.430
1999-01-01,88.493
1999-02-01,89.459
1999-03-01,90.857
1999-04-01,91.688
1999-05-01,92.549
1999-06-01,93.395
1999-07-01,94.378
1999-08-01,95.555
1999-09-01,96.959
1999-10-01,98.038
1999-11-01,98.848
1999-12-01,99.666
2000-01-01,100.663
2000-02-01,101.653
2000-03-01,102.736
2000-04-01,103.543
2000-05-01,105.302
2000-06-01,106.908
2000-07-01,108.299
2000-08-01,109.300
2000-09-01,110.551
2000-10-01,111.728
2000-11-01,113.099
2000-12-01,114.541
2001-01-01,115.506
2001-02-01,116.880
2001-03-01,117.239
2001-04-01,118.520
2001-05-01,119.253
2001-06-01,119.974
2001-07-01,120.390
2001-08-01,120.964
2001-09-01,121.506
2001-10-01,121.698
2001-11-01,121.642
2001-12-01,121.625
2002-01-01,122.097
2002-02-01,122.393
2002-03-01,123.106
2002-04-01,123.332
2002-05-01,124.009
2002-06-01,124.255
2002-07-01,124.676
2002-08-01,124.611
2002-09-01,124.667
2002-10-01,125.000
2002-11-01,125.555
2002-12-01,125.712
2003-01-01,125.620
2003-02-01,125.599
2003-03-01,126.111
2003-04-01,125.916
2003-05-01,125.778
2003-06-01,125.081
2003-07-01,125.165
2003-08-01,125.597
2003-09-01,125.829
2003-10-01,126.298
2003-11-01,126.796
2003-12-01,127.264
2004-01-01,128.083
2004-02-01,128.640
2004-03-01,129.250
2004-04-01,129.290
2004-05-01,129.312
2004-06-01,129.844
2004-07-01,129.970
2004-08-01,130.352
2004-09-01,130.514
2004-10-01,131.271
2004-11-01,131.871
2004-12-01,132.755
2005-01-01,133.395
2005-02-01,134.370
2005-03-01,134.657
2005-04-01,135.090
2005-05-01,135.129
2005-06-01,134.938
2005-07-01,134.970
2005-08-01,135.237
2005-09-01,135.909
2005-10-01,136.610
2005-11-01,137.221
2005-12-01,137.919
2006-01-01,138.804
2006-02-01,139.290
2006-03-01,139.343
2006-04-01,138.812
2006-05-01,138.735
2006-06-01,138.448
2006-07-01,138.338
2006-08-01,137.809
2006-09-01,137.634
2006-10-01,137.368
2006-11-01,137.314
2006-12-01,137.649
2007-01-01,137.597
2007-02-01,137.407
2007-03-01,136.981
2007-04-01,136.558
2007-05-01,136.784
2007-06-01,136.823
2007-07-01,136.957
2007-08-01,136.835
2007-09-01,136.216
2007-10-01,134.750
2007-11-01,133.017
2007-12-01,131.608
