Date,Indicator
1987-01-01,59.426
1987-02-01,59.895
1987-03-01,60.401
1987-04-01,61.324
1987-05-01,62.031
1987-06-01,62.777
1987-07-01,63.456
1987-08-01,64.131
1987-09-01,64.894
1987-10-01,65.772
1987-11-01,66.713
1987-12-01,67.778
1988-01-01,68.777
1988-02-01,69.711
1988-03-01,70.699
1988-04-01,71.484
1988-05-01,72.477
1988-06-01,74.386
1988-07-01,76.921
1988-08-01,78.668
1988-09-01,80.607
1988-10-01,82.381
1988-11-01,84.413
1988-12-01,85.818
1989-01-01,87.473
1989-02-01,88.773
1989-03-01,91.147
1989-04-01,93.012
1989-05-01,94.569
1989-06-01,95.513
1989-07-01,96.252
1989-08-01,96.662
1989-09-01,97.200
1989-10-01,97.880
1989-11-01,98.996
1989-12-01,99.770
1990-01-01,100.471
1990-02-01,100.762
1990-03-01,100.993
1990-04-01,100.990
1990-05-01,100.395
1990-06-01,100.111
1990-07-01,99.506
1990-08-01,99.046
1990-09-01,98.425
1990-10-01,98.001
1990-11-01,97.114
1990-12-01,96.548
1991-01-01,95.569
1991-02-01,94.704
1991-03-01,93.773
1991-04-01,93.742
1991-05-01,93.909
1991-06-01,94.063
1991-07-01,94.285
1991-08-01,94.258
1991-09-01,94.092
1991-10-01,93.875
1991-11-01,93.470
1991-12-01,93.136
1992-01-01,92.787
1992-02-01,92.571
1992-03-01,91.911
1992-04-01,91.440
1992-05-01,90.868
1992-06-01,90.166
1992-07-01,89.488
1992-08-01,88.928
1992-09-01,88.319
1992-10-01,87.357
1992-11-01,86.643
1992-12-01,85.816
1993-01-01,85.246
1993-02-01,84.661
1993-03-01,83.616
1993-04-01,82.792
1993-05-01,82.043
1993-06-01,81.428
1993-07-01,80.567
1993-08-01,79.483
1993-09-01,79.045
1993-10-01,78.382
1993-11-01,78.231
1993-12-01,77.572
1994-01-01,77.395
1994-02-01,77.444
1994-03-01,77.263
1994-04-01,77.085
1994-05-01,76.665
1994-06-01,76.435
1994-07-01,76.410
1994-08-01,76.410
1994-09-01,76.434
1994-10-01,76.547
1994-11-01,76.469
1994-12-01,76.394
1995-01-01,76.376
1995-02-01,76.023
1995-03-01,75.776
1995-04-01,75.357
1995-05-01,75.118
1995-06-01,74.555
1995-07-01,74.500
1995-08-01,74.280
1995-09-01,74.191
1995-10-01,74.087
1995-11-01,74.029
1995-12-01,73.937
1996-01-01,73.920
1996-02-01,73.844
1996-03-01,73.855
1996-04-01,73.857
1996-05-01,73.995
1996-06-01,74.154
1996-07-01,74.113
1996-08-01,74.048
1996-09-01,73.999
1996-10-01,74.180
1996-11-01,74.418
1996-12-01,74.516
1997-01-01,74.537
1997-02-01,74.402
1997-03-01,74.791
1997-04-01,75.273
1997-05-01,75.765
1997-06-01,76.193
1997-07-01,76.543
1997-08-01,77.164
1997-09-01,77.555
1997-10-01,78.233
1997-11-01,78.891
1997-12-01,79.908
1998-01-01,81.035
1998-02-01,82.192
1998-03-01,83.653
1998-04-01,84.399
1998-05-01,85.396
