Date,Indicator
1989-01-01,63.493
1989-02-01,63.152
1989-03-01,62.693
1989-04-01,63.083
1989-05-01,63.184
1989-06-01,63.743
1989-07-01,63.556
1989-08-01,63.798
1989-09-01,63.893
1989-10-01,64.121
1989-11-01,64.395
1989-12-01,64.386
1990-01-01,64.225
1990-02-01,64.006
1990-03-01,64.225
1990-04-01,64.471
1990-05-01,64.600
1990-06-01,64.581
1990-07-01,64.343
1990-08-01,64.075
1990-09-01,64.148
1990-10-01,64.419
1990-11-01,64.386
1990-12-01,64.545
1991-01-01,64.624
1991-02-01,64.543
1991-03-01,64.406
1991-04-01,64.290
1991-05-01,64.629
1991-06-01,64.830
1991-07-01,65.386
1991-08-01,65.683
1991-09-01,66.000
1991-10-01,65.641
1991-11-01,65.668
1991-12-01,65.867
1992-01-01,66.085
1992-02-01,66.541
1992-03-01,66.771
1992-04-01,66.944
1992-05-01,66.969
1992-06-01,67.203
1992-07-01,67.258
1992-08-01,67.393
1992-09-01,67.408
1992-10-01,67.701
1992-11-01,67.933
1992-12-01,68.054
1993-01-01,68.156
1993-02-01,68.020
1993-03-01,68.529
1993-04-01,68.888
1993-05-01,69.300
1993-06-01,69.299
1993-07-01,69.567
1993-08-01,69.859
1993-09-01,70.487
1993-10-01,70.810
1993-11-01,71.220
1993-12-01,71.215
1994-01-01,71.923
1994-02-01,72.371
1994-03-01,73.228
1994-04-01,73.138
1994-05-01,73.136
1994-06-01,72.913
1994-07-01,72.668
1994-08-01,72.765
1994-09-01,72.832
1994-10-01,73.027
1994-11-01,73.184
1994-12-01,72.904
1995-01-01,73.341
1995-02-01,73.958
1995-03-01,74.784
1995-04-01,75.118
1995-05-01,75.432
1995-06-01,75.583
1995-07-01,75.816
1995-08-01,76.056
1995-09-01,76.230
1995-10-01,75.701
1995-11-01,75.896
1995-12-01,76.138
1996-01-01,76.533
1996-02-01,76.703
1996-03-01,76.820
1996-04-01,76.733
1996-05-01,76.914
1996-06-01,77.344
1996-07-01,77.887
1996-08-01,78.153
1996-09-01,78.473
1996-10-01,78.847
1996-11-01,79.305
1996-12-01,79.585
1997-01-01,79.976
1997-02-01,79.971
1997-03-01,79.895
1997-04-01,79.673
1997-05-01,80.386
1997-06-01,80.726
1997-07-01,82.065
1997-08-01,82.256
1997-09-01,81.764
1997-10-01,82.098
1997-11-01,82.184
1997-12-01,82.587
1998-01-01,82.871
1998-02-01,83.514
1998-03-01,83.702
1998-04-01,84.299
1998-05-01,84.829
1998-06-01,85.348
1998-07-01,85.858
1998-08-01,86.369
1998-09-01,86.770
1998-10-01,87.413
1998-11-01,88.294
1998-12-01,89.044
1999-01-01,89.906
1999-02-01,90.572
1999-03-01,91.276
1999-04-01,92.292
1999-05-01,92.934
1999-06-01,93.720
1999-07-01,94.473
1999-08-01,95.645
1999-09-01,96.988
1999-10-01,98.056
1999-11-01,98.864
1999-12-01,99.626
2000-01-01,100.189
2000-02-01,100.972
2000-03-01,101.631
2000-04-01,102.975
2000-05-01,104.407
2000-06-01,105.610
2000-07-01,106.388
2000-08-01,107.356
2000-09-01,108.465
2000-10-01,109.626
2000-11-01,111.156
2000-12-01,111.732
2001-01-01,113.355
2001-02-01,114.501
2001-03-01,116.391
2001-04-01,117.273
2001-05-01,118.284
2001-06-01,119.676
2001-07-01,121.257
2001-08-01,122.118
2001-09-01,123.196
2001-10-01,124.095
2001-11-01,125.283
2001-12-01,125.977
2002-01-01,126.420
2002-02-01,126.979
2002-03-01,128.123
2002-04-01,128.995
2002-05-01,130.220
2002-06-01,131.204
2002-07-01,132.289
2002-08-01,133.286
2002-09-01,133.895
2002-10-01,135.262
2002-11-01,136.135
2002-12-01,137.912
2003-01-01,138.861
2003-02-01,140.044
2003-03-01,140.573
2003-04-01,141.515
2003-05-01,142.252
2003-06-01,142.593
2003-07-01,143.798
2003-08-01,144.779
2003-09-01,145.874
2003-10-01,146.970
2003-11-01,148.043
2003-12-01,148.753
2004-01-01,150.000
2004-02-01,151.262
2004-03-01,152.794
2004-04-01,154.444
2004-05-01,154.931
2004-06-01,156.232
2004-07-01,156.542
2004-08-01,157.313
2004-09-01,157.298
2004-10-01,158.187
2004-11-01,158.870
2004-12-01,159.676
2005-01-01,161.399
2005-02-01,162.677
2005-03-01,163.765
2005-04-01,165.068
2005-05-01,165.170
2005-06-01,165.418
2005-07-01,165.208
2005-08-01,165.322
2005-09-01,165.586
2005-10-01,166.908
2005-11-01,168.286
2005-12-01,169.329
2006-01-01,170.123
2006-02-01,171.453
2006-03-01,172.254
2006-04-01,173.758
2006-05-01,172.819
2006-06-01,171.445
2006-07-01,169.281
2006-08-01,168.374
2006-09-01,167.390
2006-10-01,167.469
2006-11-01,167.415
2006-12-01,167.661
2007-01-01,168.732
2007-02-01,169.597
2007-03-01,169.984
2007-04-01,169.887
2007-05-01,167.458
2007-06-01,164.821
2007-07-01,162.852
2007-08-01,161.250
2007-09-01,159.818
2007-10-01,158.515
2007-11-01,156.521
2007-12-01,154.501
2008-01-01,152.050
2008-02-01,149.083
2008-03-01,146.963
2008-04-01,144.631
2008-05-01,143.411
2008-06-01,141.867
2008-07-01,140.907
2008-08-01,138.406
2008-09-01,136.417
2008-10-01,132.581
2008-11-01,130.615
2008-12-01,125.287
2009-01-01,121.447
2009-02-01,119.433
2009-03-01,113.753
2009-04-01,113.208
2009-05-01,112.618
2009-06-01,113.775
2009-07-01,116.738
2009-08-01,119.170
2009-09-01,121.083
2009-10-01,121.613
2009-11-01,122.186
2009-12-01,122.794
2010-01-01,123.853
2010-02-01,123.298
2010-03-01,122.065
2010-04-01,124.507
2010-05-01,125.766
2010-06-01,125.598
2010-07-01,123.652
2010-08-01,122.165
2010-09-01,119.592
2010-10-01,118.533
2010-11-01,117.302
2010-12-01,116.842
2011-01-01,114.838
2011-02-01,113.091
2011-03-01,110.163
2011-04-01,110.160
2011-05-01,110.862
2011-06-01,111.821
2011-07-01,112.844
2011-08-01,112.186
2011-09-01,112.164
2011-10-01,111.942
2011-11-01,112.257
2011-12-01,112.119
2012-01-01,112.969
2012-02-01,113.950
2012-03-01,113.804
2012-04-01,114.170
2012-05-01,115.419
2012-06-01,117.945
2012-07-01,120.293
2012-08-01,120.789
2012-09-01,122.175
2012-10-01,122.610
2012-11-01,124.554
2012-12-01,126.055
2013-01-01,127.287
2013-02-01,128.159
2013-03-01,127.520
2013-04-01,130.099
2013-05-01,130.894
2013-06-01,131.254
2013-07-01,131.917
2013-08-01,133.505
2013-09-01,134.977
2013-10-01,137.008
2013-11-01,138.036
2013-12-01,138.581
2014-01-01,139.303
2014-02-01,139.590
2014-03-01,141.348
2014-04-01,140.914
2014-05-01,140.910
2014-06-01,139.836
2014-07-01,139.371
2014-08-01,139.317
2014-09-01,139.563
2014-10-01,140.169
2014-11-01,140.251
2014-12-01,141.123
2015-01-01,142.036
2015-02-01,143.377
2015-03-01,144.631
2015-04-01,144.443
2015-05-01,144.354
2015-06-01,144.468
2015-07-01,144.551
2015-08-01,144.599
2015-09-01,145.201
2015-10-01,145.978
2015-11-01,147.025
2015-12-01,147.859
2016-01-01,148.472
2016-02-01,148.758
2016-03-01,149.681
2016-04-01,150.652
2016-05-01,151.181
2016-06-01,151.583
2016-07-01,151.843
2016-08-01,152.424
2016-09-01,153.287
2016-10-01,154.176
2016-11-01,155.110
2016-12-01,156.073
2017-01-01,156.668
2017-02-01,157.949
2017-03-01,159.420
2017-04-01,159.681
2017-05-01,159.801
2017-06-01,160.341
2017-07-01,161.058
2017-08-01,161.523
2017-09-01,162.015
2017-10-01,162.699
2017-11-01,163.702
2017-12-01,164.550
2018-01-01,166.020
2018-02-01,167.043
2018-03-01,168.729
2018-04-01,169.761
2018-05-01,169.701
2018-06-01,170.174
2018-07-01,170.597
2018-08-01,171.424
2018-09-01,171.851
2018-10-01,172.387
2018-11-01,173.220
2018-12-01,173.865
2019-01-01,174.760
2019-02-01,174.363
2019-03-01,174.765
2019-04-01,174.439
2019-05-01,175.488
2019-06-01,176.344
2019-07-01,177.389
2019-08-01,178.174
2019-09-01,179.227
2019-10-01,179.959
2019-11-01,180.186
2019-12-01,180.808
2020-01-01,181.429
2020-02-01,183.546
2020-03-01,183.991
2020-04-01,185.407
2020-05-01,184.873
2020-06-01,185.555
2020-07-01,186.435
2020-08-01,188.443
2020-09-01,191.255
2020-10-01,194.282
2020-11-01,196.867
2020-12-01,199.141
2021-01-01,200.854
2021-02-01,202.646
2021-03-01,203.995
2021-04-01,206.159
2021-05-01,208.299
2021-06-01,210.586
2021-07-01,212.916
2021-08-01,214.592
2021-09-01,215.940
2021-10-01,216.857
2021-11-01,219.026
2021-12-01,221.808
2022-01-01,224.783
2022-02-01,226.995
2022-03-01,229.204
2022-04-01,231.284
2022-05-01,231.869
2022-06-01,232.099
2022-07-01,231.848
2022-08-01,230.924
2022-09-01,230.039
2022-10-01,229.555
2022-11-01,229.690
2022-12-01,228.869
2023-01-01,228.711
2023-02-01,228.367
2023-03-01,230.142
2023-04-01,231.113
2023-05-01,232.423
2023-06-01,233.417
2023-07-01,233.852
2023-08-01,234.923
2023-09-01,235.370
2023-10-01,235.835
2023-11-01,235.839
2023-12-01,235.579
2024-01-01,236.015
2024-02-01,237.291
2024-03-01,237.742
2024-04-01,237.762
2024-05-01,237.917
2024-06-01,238.100
2024-07-01,238.534
