Date,Indicator
1987-01-01,74.678
1987-02-01,76.044
1987-03-01,77.237
1987-04-01,78.282
1987-05-01,79.675
1987-06-01,80.840
1987-07-01,81.695
1987-08-01,82.220
1987-09-01,82.384
1987-10-01,83.156
1987-11-01,83.677
1987-12-01,84.501
1988-01-01,84.322
1988-02-01,84.491
1988-03-01,84.477
1988-04-01,84.690
1988-05-01,84.762
1988-06-01,84.599
1988-07-01,84.504
1988-08-01,84.594
1988-09-01,84.576
1988-10-01,84.479
1988-11-01,84.491
1988-12-01,84.375
1989-01-01,84.482
1989-02-01,84.266
1989-03-01,84.195
1989-04-01,83.881
1989-05-01,83.494
1989-06-01,82.947
1989-07-01,82.171
1989-08-01,81.936
1989-09-01,81.537
1989-10-01,81.788
1989-11-01,81.550
1989-12-01,81.344
1990-01-01,81.035
1990-02-01,80.983
1990-03-01,80.808
1990-04-01,80.213
1990-05-01,79.554
1990-06-01,78.933
1990-07-01,78.296
1990-08-01,77.550
1990-09-01,76.676
1990-10-01,76.312
1990-11-01,75.882
1990-12-01,75.616
1991-01-01,74.743
1991-02-01,74.110
1991-03-01,73.579
1991-04-01,73.054
1991-05-01,73.088
1991-06-01,73.458
1991-07-01,73.911
1991-08-01,74.243
1991-09-01,74.387
1991-10-01,74.563
1991-11-01,74.617
1991-12-01,74.768
1992-01-01,74.757
1992-02-01,74.816
1992-03-01,74.955
1992-04-01,75.168
1992-05-01,75.152
1992-06-01,75.057
1992-07-01,74.964
1992-08-01,75.106
1992-09-01,75.086
1992-10-01,75.053
1992-11-01,75.193
1992-12-01,75.401
1993-01-01,75.741
1993-02-01,75.887
1993-03-01,75.988
1993-04-01,76.069
1993-05-01,76.143
1993-06-01,76.330
1993-07-01,76.317
1993-08-01,76.276
1993-09-01,76.333
1993-10-01,76.502
1993-11-01,76.738
1993-12-01,76.804
1994-01-01,76.848
1994-02-01,76.910
1994-03-01,77.240
1994-04-01,77.594
1994-05-01,77.967
1994-06-01,78.058
1994-07-01,78.241
1994-08-01,78.342
1994-09-01,78.415
1994-10-01,78.446
1994-11-01,78.380
1994-12-01,78.491
1995-01-01,78.569
1995-02-01,78.783
1995-03-01,78.567
1995-04-01,78.446
1995-05-01,78.435
1995-06-01,78.432
1995-07-01,78.453
1995-08-01,78.437
1995-09-01,78.506
1995-10-01,78.671
1995-11-01,78.745
1995-12-01,78.855
1996-01-01,78.950
1996-02-01,79.218
1996-03-01,79.502
1996-04-01,79.609
1996-05-01,79.776
1996-06-01,79.366
1996-07-01,79.431
1996-08-01,79.563
1996-09-01,79.760
1996-10-01,79.891
1996-11-01,79.917
1996-12-01,80.198
1997-01-01,80.436
1997-02-01,80.595
1997-03-01,80.590
