Date,Indicator
1989-01-01,67.544
1989-02-01,67.429
1989-03-01,67.711
1989-04-01,67.654
1989-05-01,67.898
1989-06-01,67.662
1989-07-01,67.564
1989-08-01,67.281
1989-09-01,67.139
1989-10-01,66.684
1989-11-01,66.520
1989-12-01,66.407
1990-01-01,66.556
1990-02-01,66.512
1990-03-01,66.440
1990-04-01,66.478
1990-05-01,66.436
1990-06-01,66.563
1990-07-01,66.605
1990-08-01,66.580
1990-09-01,66.253
1990-10-01,65.931
1990-11-01,65.410
1990-12-01,65.356
1991-01-01,65.257
1991-02-01,65.294
1991-03-01,64.604
1991-04-01,64.353
1991-05-01,64.373
1991-06-01,64.879
1991-07-01,65.505
1991-08-01,65.867
1991-09-01,66.044
1991-10-01,65.842
1991-11-01,66.104
1991-12-01,65.950
1992-01-01,66.013
1992-02-01,65.879
1992-03-01,65.935
1992-04-01,65.828
1992-05-01,66.022
1992-06-01,66.080
1992-07-01,66.264
1992-08-01,66.457
1992-09-01,66.541
1992-10-01,66.551
1992-11-01,66.521
1992-12-01,66.586
1993-01-01,66.835
1993-02-01,66.830
1993-03-01,67.206
1993-04-01,67.304
1993-05-01,67.750
1993-06-01,67.948
1993-07-01,68.441
1993-08-01,68.718
1993-09-01,69.285
1993-10-01,69.409
1993-11-01,69.811
1993-12-01,70.026
1994-01-01,70.534
1994-02-01,70.817
1994-03-01,71.279
1994-04-01,71.734
1994-05-01,72.141
1994-06-01,72.470
1994-07-01,72.996
1994-08-01,73.529
1994-09-01,74.055
1994-10-01,74.263
1994-11-01,74.463
1994-12-01,74.787
1995-01-01,75.107
1995-02-01,75.369
1995-03-01,75.520
1995-04-01,75.798
1995-05-01,76.165
1995-06-01,76.820
1995-07-01,77.259
1995-08-01,77.706
1995-09-01,77.866
1995-10-01,78.149
1995-11-01,78.393
1995-12-01,78.735
1996-01-01,79.101
1996-02-01,79.467
1996-03-01,79.925
1996-04-01,80.388
1996-05-01,80.735
1996-06-01,81.104
1996-07-01,81.453
1996-08-01,81.872
1996-09-01,82.096
1996-10-01,82.207
1996-11-01,82.301
1996-12-01,82.339
1997-01-01,82.586
1997-02-01,82.896
