Date,Indicator
1987-01-01,41.055
1987-02-01,41.283
1987-03-01,41.057
1987-04-01,40.962
1987-05-01,41.243
1987-06-01,41.449
1987-07-01,41.817
1987-08-01,41.904
1987-09-01,41.800
1987-10-01,41.857
1987-11-01,41.673
1987-12-01,41.875
1988-01-01,41.607
1988-02-01,41.479
1988-03-01,41.853
1988-04-01,42.097
1988-05-01,42.580
1988-06-01,42.754
1988-07-01,43.094
1988-08-01,43.537
1988-09-01,43.719
1988-10-01,44.017
1988-11-01,44.053
1988-12-01,44.236
1989-01-01,44.262
1989-02-01,44.572
1989-03-01,44.564
1989-04-01,45.001
1989-05-01,45.444
1989-06-01,46.103
1989-07-01,46.504
1989-08-01,46.970
1989-09-01,47.259
1989-10-01,47.670
1989-11-01,47.885
1989-12-01,48.675
1990-01-01,49.419
1990-02-01,50.273
1990-03-01,50.248
1990-04-01,51.087
1990-05-01,51.892
1990-06-01,53.536
1990-07-01,54.717
1990-08-01,56.018
1990-09-01,57.024
1990-10-01,57.385
1990-11-01,57.267
1990-12-01,56.723
1991-01-01,56.535
1991-02-01,56.936
1991-03-01,58.029
1991-04-01,58.387
1991-05-01,58.897
1991-06-01,59.541
1991-07-01,59.889
1991-08-01,60.171
1991-09-01,60.195
1991-10-01,60.636
1991-11-01,60.590
1991-12-01,61.080
1992-01-01,61.400
1992-02-01,61.538
1992-03-01,61.573
1992-04-01,61.796
1992-05-01,62.243
1992-06-01,62.729
1992-07-01,62.922
1992-08-01,63.486
1992-09-01,63.835
1992-10-01,64.231
1992-11-01,64.869
1992-12-01,64.779
1993-01-01,64.934
1993-02-01,64.951
1993-03-01,65.296
1993-04-01,66.291
1993-05-01,67.030
1993-06-01,68.054
1993-07-01,68.523
1993-08-01,68.628
1993-09-01,68.978
1993-10-01,69.454
1993-11-01,70.300
1993-12-01,70.516
1994-01-01,70.789
1994-02-01,71.097
1994-03-01,71.692
1994-04-01,72.547
1994-05-01,73.447
1994-06-01,74.188
1994-07-01,74.914
1994-08-01,75.436
1994-09-01,75.866
1994-10-01,75.995
1994-11-01,76.211
1994-12-01,76.192
1995-01-01,76.792
1995-02-01,77.057
1995-03-01,77.904
1995-04-01,78.057
1995-05-01,78.518
1995-06-01,79.501
1995-07-01,80.248
1995-08-01,81.222
1995-09-01,81.453
1995-10-01,81.918
1995-11-01,82.030
1995-12-01,82.542
1996-01-01,82.798
1996-02-01,83.504
1996-03-01,84.017
1996-04-01,85.182
1996-05-01,85.978
1996-06-01,86.630
1996-07-01,87.019
1996-08-01,87.268
1996-09-01,88.132
1996-10-01,89.152
1996-11-01,90.156
1996-12-01,90.592
1997-01-01,90.794
1997-02-01,91.685
1997-03-01,92.630
1997-04-01,93.528
1997-05-01,93.922
1997-06-01,93.449
1997-07-01,93.521
1997-08-01,93.202
1997-09-01,93.367
1997-10-01,93.110
1997-11-01,93.498
1997-12-01,93.767
1998-01-01,93.603
1998-02-01,93.572
1998-03-01,94.069
1998-04-01,94.952
1998-05-01,95.610
1998-06-01,96.143
1998-07-01,96.440
1998-08-01,96.814
1998-09-01,97.030
1998-10-01,97.294
1998-11-01,97.410
1998-12-01,97.875
1999-01-01,98.192
1999-02-01,98.594
1999-03-01,98.195
1999-04-01,98.738
1999-05-01,99.378
1999-06-01,100.080
1999-07-01,100.346
1999-08-01,100.646
1999-09-01,100.706
1999-10-01,100.910
1999-11-01,100.337
1999-12-01,100.290
2000-01-01,100.000
2000-02-01,100.519
2000-03-01,100.907
2000-04-01,101.992
2000-05-01,102.290
2000-06-01,102.697
2000-07-01,102.979
2000-08-01,103.298
2000-09-01,103.311
2000-10-01,103.334
2000-11-01,103.214
2000-12-01,103.839
2001-01-01,103.915
2001-02-01,104.011
2001-03-01,104.317
2001-04-01,105.137
2001-05-01,106.113
2001-06-01,107.132
2001-07-01,108.027
2001-08-01,108.826
2001-09-01,109.000
2001-10-01,108.931
2001-11-01,108.401
2001-12-01,108.120
2002-01-01,108.130
2002-02-01,108.526
2002-03-01,110.176
2002-04-01,110.649
2002-05-01,111.611
2002-06-01,111.875
2002-07-01,113.063
2002-08-01,112.945
2002-09-01,113.031
2002-10-01,112.856
2002-11-01,113.093
2002-12-01,113.510
2003-01-01,113.691
2003-02-01,114.181
2003-03-01,114.836
2003-04-01,115.858
2003-05-01,116.942
2003-06-01,118.282
2003-07-01,119.215
2003-08-01,119.948
2003-09-01,120.493
2003-10-01,121.030
2003-11-01,121.665
2003-12-01,122.096
2004-01-01,122.062
2004-02-01,122.412
2004-03-01,122.747
2004-04-01,124.971
