Date,Indicator
1987-01-01,54.794
1987-02-01,55.215
1987-03-01,55.488
1987-04-01,56.050
1987-05-01,56.462
1987-06-01,56.788
1987-07-01,57.076
1987-08-01,57.380
1987-09-01,57.843
1987-10-01,58.296
1987-11-01,58.901
1987-12-01,59.404
1988-01-01,60.018
1988-02-01,60.490
1988-03-01,61.284
1988-04-01,61.444
1988-05-01,61.845
1988-06-01,61.443
1988-07-01,64.588
1988-08-01,65.290
1988-09-01,66.079
1988-10-01,67.176
1988-11-01,68.428
1988-12-01,69.831
1989-01-01,71.173
1989-02-01,72.763
1989-03-01,74.483
1989-04-01,75.805
1989-05-01,77.050
1989-06-01,78.137
1989-07-01,79.030
1989-08-01,80.095
1989-09-01,81.102
1989-10-01,82.060
1989-11-01,82.709
1989-12-01,83.573
1990-01-01,84.078
1990-02-01,84.737
1990-03-01,85.127
1990-04-01,85.545
1990-05-01,85.738
1990-06-01,85.749
1990-07-01,85.594
1990-08-01,85.335
1990-09-01,85.222
1990-10-01,84.925
1990-11-01,84.654
1990-12-01,84.032
1991-01-01,83.481
1991-02-01,82.564
1991-03-01,81.598
1991-04-01,81.207
1991-05-01,81.534
1991-06-01,81.887
1991-07-01,82.105
1991-08-01,81.937
1991-09-01,81.661
1991-10-01,81.662
1991-11-01,81.453
1991-12-01,81.335
1992-01-01,80.863
1992-02-01,80.569
1992-03-01,80.692
1992-04-01,80.684
1992-05-01,80.452
1992-06-01,79.915
1992-07-01,79.571
1992-08-01,79.268
1992-09-01,79.036
1992-10-01,78.155
1992-11-01,77.924
1992-12-01,77.484
1993-01-01,77.653
1993-02-01,76.991
1993-03-01,76.621
1993-04-01,75.911
1993-05-01,75.546
1993-06-01,75.051
1993-07-01,74.487
1993-08-01,74.182
1993-09-01,74.271
1993-10-01,74.260
1993-11-01,74.305
1993-12-01,74.106
1994-01-01,74.270
1994-02-01,74.107
1994-03-01,74.015
1994-04-01,74.020
1994-05-01,74.247
1994-06-01,74.441
1994-07-01,74.553
1994-08-01,74.189
1994-09-01,73.705
1994-10-01,73.734
1994-11-01,73.457
1994-12-01,73.443
1995-01-01,73.052
1995-02-01,73.164
