Date,Indicator
1987-01-01,46.956
1987-02-01,47.303
1987-03-01,47.840
1987-04-01,47.984
1987-05-01,48.305
1987-06-01,48.606
1987-07-01,49.085
1987-08-01,49.543
1987-09-01,50.241
1987-10-01,50.993
1987-11-01,51.641
1987-12-01,52.229
1988-01-01,52.703
1988-02-01,53.200
1988-03-01,53.866
1988-04-01,54.534
1988-05-01,56.067
1988-06-01,57.882
1988-07-01,58.174
1988-08-01,58.497
1988-09-01,58.937
1988-10-01,59.950
1988-11-01,61.106
1988-12-01,62.466
1989-01-01,63.288
1989-02-01,64.058
1989-03-01,65.562
1989-04-01,66.697
1989-05-01,67.703
1989-06-01,68.784
1989-07-01,69.591
1989-08-01,70.716
1989-09-01,71.592
1989-10-01,72.426
1989-11-01,73.015
1989-12-01,73.395
1990-01-01,73.643
1990-02-01,73.823
1990-03-01,74.595
1990-04-01,75.065
1990-05-01,75.020
1990-06-01,74.588
1990-07-01,74.048
1990-08-01,73.752
1990-09-01,73.482
1990-10-01,72.907
1990-11-01,72.375
1990-12-01,71.865
1991-01-01,71.935
1991-02-01,71.126
1991-03-01,70.608
1991-04-01,69.909
1991-05-01,70.011
1991-06-01,70.281
1991-07-01,70.658
1991-08-01,70.828
1991-09-01,70.822
1991-10-01,70.712
1991-11-01,70.534
1991-12-01,70.450
1992-01-01,70.395
1992-02-01,70.340
1992-03-01,70.195
1992-04-01,69.686
1992-05-01,69.729
1992-06-01,69.489
1992-07-01,69.272
1992-08-01,68.963
1992-09-01,68.805
1992-10-01,68.828
1992-11-01,68.745
1992-12-01,68.584
1993-01-01,68.451
1993-02-01,68.290
1993-03-01,68.066
1993-04-01,67.991
1993-05-01,67.762
1993-06-01,67.473
1993-07-01,66.931
1993-08-01,66.951
1993-09-01,66.832
1993-10-01,66.772
1993-11-01,66.724
1993-12-01,66.631
1994-01-01,66.635
1994-02-01,66.649
1994-03-01,67.322
1994-04-01,67.419
1994-05-01,67.537
1994-06-01,67.613
1994-07-01,67.640
1994-08-01,67.682
1994-09-01,67.543
1994-10-01,67.793
1994-11-01,68.051
1994-12-01,68.312
1995-01-01,68.415
1995-02-01,68.321
1995-03-01,67.725
1995-04-01,67.406
