Date,Indicator
1990-01-01,58.233
1990-02-01,59.977
1990-03-01,62.294
1990-04-01,65.092
1990-05-01,66.825
1990-06-01,68.063
1990-07-01,68.299
1990-08-01,68.607
1990-09-01,68.134
1990-10-01,67.586
1990-11-01,66.875
1990-12-01,66.384
1991-01-01,65.528
1991-02-01,64.598
1991-03-01,64.467
1991-04-01,65.091
1991-05-01,66.025
1991-06-01,66.681
1991-07-01,66.933
1991-08-01,67.037
1991-09-01,66.990
1991-10-01,66.479
1991-11-01,66.131
1991-12-01,65.705
1992-01-01,65.609
1992-02-01,65.545
1992-03-01,66.178
1992-04-01,66.873
1992-05-01,67.571
1992-06-01,67.903
1992-07-01,67.981
1992-08-01,67.749
1992-09-01,67.438
1992-10-01,67.738
1992-11-01,67.569
1992-12-01,67.469
1993-01-01,67.487
1993-02-01,67.765
1993-03-01,68.194
1993-04-01,67.938
1993-05-01,68.140
1993-06-01,68.133
1993-07-01,68.176
1993-08-01,68.588
1993-09-01,69.208
1993-10-01,69.467
1993-11-01,69.648
1993-12-01,69.519
1994-01-01,69.824
1994-02-01,69.583
1994-03-01,69.836
1994-04-01,70.332
1994-05-01,71.512
1994-06-01,71.969
1994-07-01,72.122
1994-08-01,71.925
1994-09-01,71.927
1994-10-01,72.012
1994-11-01,71.991
1994-12-01,71.725
1995-01-01,71.718
1995-02-01,71.195
1995-03-01,71.435
1995-04-01,71.281
1995-05-01,71.878
1995-06-01,72.009
1995-07-01,72.619
1995-08-01,72.883
1995-09-01,73.024
1995-10-01,73.102
1995-11-01,72.924
1995-12-01,72.826
1996-01-01,72.354
1996-02-01,72.447
1996-03-01,73.213
1996-04-01,73.705
1996-05-01,74.247
1996-06-01,74.628
1996-07-01,74.679
1996-08-01,75.012
1996-09-01,74.685
1996-10-01,74.949
1996-11-01,74.669
1996-12-01,74.701
1997-01-01,74.844
1997-02-01,75.431
1997-03-01,76.332
1997-04-01,77.713
1997-05-01,79.179
1997-06-01,80.350
1997-07-01,81.444
1997-08-01,81.715
1997-09-01,82.105
1997-10-01,82.315
1997-11-01,82.685
1997-12-01,83.145
1998-01-01,83.495
1998-02-01,84.614
1998-03-01,85.701
1998-04-01,86.921
1998-05-01,88.056
1998-06-01,89.164
1998-07-01,90.011
1998-08-01,90.411
1998-09-01,90.922
1998-10-01,91.384
1998-11-01,91.724
1998-12-01,91.552
1999-01-01,91.657
1999-02-01,91.982
1999-03-01,93.233
1999-04-01,94.658
1999-05-01,95.972
1999-06-01,97.163
1999-07-01,97.642
1999-08-01,98.109
1999-09-01,98.658
1999-10-01,99.450
1999-11-01,99.956
1999-12-01,99.936
2000-01-01,100.000
2000-02-01,100.480
2000-03-01,102.237
2000-04-01,103.456
2000-05-01,104.780
2000-06-01,105.279
2000-07-01,105.816
2000-08-01,105.877
2000-09-01,106.101
2000-10-01,106.083
2000-11-01,106.332
2000-12-01,106.732
2001-01-01,106.699
2001-02-01,106.718
2001-03-01,107.408
2001-04-01,108.971
2001-05-01,109.758
2001-06-01,110.556
2001-07-01,110.836
2001-08-01,111.232
2001-09-01,111.717
2001-10-01,111.936
2001-11-01,111.975
2001-12-01,111.582
2002-01-01,111.794
2002-02-01,112.068
2002-03-01,112.740
2002-04-01,113.398
2002-05-01,114.177
2002-06-01,114.842
2002-07-01,115.279
2002-08-01,115.491
2002-09-01,115.622
2002-10-01,115.880
2002-11-01,115.868
2002-12-01,116.180
2003-01-01,115.796
2003-02-01,116.269
2003-03-01,117.038
2003-04-01,118.233
2003-05-01,119.232
2003-06-01,120.146
2003-07-01,120.837
2003-08-01,121.878
2003-09-01,122.419
2003-10-01,123.434
2003-11-01,123.526
2003-12-01,124.382
2004-01-01,124.417
2004-02-01,125.218
2004-03-01,126.327
2004-04-01,128.228
2004-05-01,130.145
2004-06-01,131.944
2004-07-01,133.267
2004-08-01,134.215
2004-09-01,135.224
2004-10-01,136.077
2004-11-01,137.376
2004-12-01,138.606
2005-01-01,140.184
2005-02-01,141.314
2005-03-01,143.702
2005-04-01,146.212
2005-05-01,148.969
2005-06-01,151.787
2005-07-01,154.111
2005-08-01,156.612
2005-09-01,158.995
2005-10-01,161.060
2005-11-01,162.726
2005-12-01,164.198
2006-01-01,165.491
2006-02-01,167.087
2006-03-01,169.455
2006-04-01,172.284
2006-05-01,174.836
2006-06-01,177.807
2006-07-01,179.957
2006-08-01,181.841
2006-09-01,183.076
2006-10-01,183.787
2006-11-01,183.879
2006-12-01,183.973
2007-01-01,183.915
2007-02-01,184.848
2007-03-01,186.444
2007-04-01,188.889
2007-05-01,190.679
2007-06-01,191.919
2007-07-01,192.301
2007-08-01,192.143
2007-09-01,191.660
2007-10-01,189.861
2007-11-01,187.136
2007-12-01,184.879
2008-01-01,181.616
2008-02-01,179.846
2008-03-01,178.292
2008-04-01,179.567
2008-05-01,178.673
2008-06-01,178.278
2008-07-01,176.515
2008-08-01,175.235
2008-09-01,172.816
2008-10-01,170.449
2008-11-01,166.233
2008-12-01,160.195
2009-01-01,154.381
2009-02-01,152.132
2009-03-01,149.047
2009-04-01,149.377
2009-05-01,148.957
2009-06-01,149.529
2009-07-01,149.442
2009-08-01,149.541
2009-09-01,148.935
2009-10-01,149.256
2009-11-01,148.565
2009-12-01,147.544
2010-01-01,145.092
2010-02-01,143.563
2010-03-01,143.716
2010-04-01,145.139
2010-05-01,146.818
2010-06-01,146.831
2010-07-01,147.043
2010-08-01,145.934
2010-09-01,145.066
2010-10-01,143.135
2010-11-01,141.572
2010-12-01,138.698
2011-01-01,135.410
2011-02-01,132.852
2011-03-01,132.975
2011-04-01,135.137
2011-05-01,136.556
2011-06-01,137.462
2011-07-01,137.566
2011-08-01,137.092
2011-09-01,135.588
2011-10-01,134.222
2011-11-01,132.650
2011-12-01,130.986
2012-01-01,130.032
2012-02-01,128.987
2012-03-01,131.225
2012-04-01,133.835
2012-05-01,137.370
2012-06-01,139.894
2012-07-01,141.778
2012-08-01,141.692
2012-09-01,142.093
2012-10-01,141.822
2012-11-01,142.534
2012-12-01,141.753
2013-01-01,141.296
2013-02-01,140.974
2013-03-01,145.196
2013-04-01,149.050
2013-05-01,153.744
2013-06-01,156.463
2013-07-01,159.498
2013-08-01,160.363
2013-09-01,160.868
2013-10-01,160.388
2013-11-01,160.169
2013-12-01,159.316
2014-01-01,158.090
2014-02-01,159.046
2014-03-01,162.050
2014-04-01,165.719
2014-05-01,168.101
2014-06-01,169.937
2014-07-01,170.874
2014-08-01,170.853
2014-09-01,170.309
2014-10-01,170.224
2014-11-01,169.664
2014-12-01,169.750
2015-01-01,168.833
2015-02-01,170.281
2015-03-01,174.124
2015-04-01,178.040
2015-05-01,180.544
2015-06-01,182.428
2015-07-01,183.199
2015-08-01,183.834
2015-09-01,184.258
2015-10-01,185.165
2015-11-01,185.962
2015-12-01,186.266
2016-01-01,186.488
2016-02-01,188.529
2016-03-01,193.020
2016-04-01,197.007
2016-05-01,199.818
2016-06-01,202.546
2016-07-01,203.704
2016-08-01,204.555
2016-09-01,204.546
2016-10-01,204.806
2016-11-01,205.126
2016-12-01,206.284
2017-01-01,207.500
2017-02-01,211.318
2017-03-01,216.813
2017-04-01,222.484
2017-05-01,226.425
2017-06-01,229.644
2017-07-01,231.149
2017-08-01,231.566
2017-09-01,230.932
2017-10-01,230.765
2017-11-01,231.189
2017-12-01,232.508
2018-01-01,234.137
2018-02-01,238.220
2018-03-01,244.927
2018-04-01,251.492
2018-05-01,257.091
2018-06-01,258.922
2018-07-01,257.709
2018-08-01,253.643
2018-09-01,250.248
2018-10-01,247.628
2018-11-01,245.822
2018-12-01,244.290
2019-01-01,243.629
2019-02-01,244.963
2019-03-01,249.028
2019-04-01,251.692
2019-05-01,254.118
2019-06-01,255.519
2019-07-01,256.061
2019-08-01,255.349
2019-09-01,254.589
2019-10-01,253.780
2019-11-01,253.779
2019-12-01,254.256
2020-01-01,256.221
2020-02-01,259.905
2020-03-01,266.649
2020-04-01,270.273
2020-05-01,271.752
2020-06-01,272.433
2020-07-01,274.063
2020-08-01,277.091
2020-09-01,280.540
2020-10-01,283.476
2020-11-01,286.143
2020-12-01,288.797
2021-01-01,293.011
2021-02-01,301.133
2021-03-01,315.217
2021-04-01,326.435
2021-05-01,335.478
2021-06-01,340.883
2021-07-01,343.911
2021-08-01,344.479
2021-09-01,345.820
2021-10-01,347.966
2021-11-01,352.884
2021-12-01,358.099
2022-01-01,365.313
2022-02-01,381.236
2022-03-01,402.472
2022-04-01,411.774
2022-05-01,414.009
2022-06-01,406.148
2022-07-01,393.725
2022-08-01,378.407
2022-09-01,367.370
2022-10-01,363.583
2022-11-01,358.115
2022-12-01,351.614
2023-01-01,346.921
2023-02-01,348.256
2023-03-01,355.713
2023-04-01,363.275
2023-05-01,369.276
2023-06-01,372.663
2023-07-01,374.777
2023-08-01,375.718
2023-09-01,373.984
2023-10-01,371.659
2023-11-01,367.003
2023-12-01,365.229
2024-01-01,365.256
2024-02-01,373.033
2024-03-01,382.574
2024-04-01,390.435
2024-05-01,395.230
2024-06-01,397.505
2024-07-01,397.290
