Date,Indicator
1987-01-01,77.442
1987-02-01,78.100
1987-03-01,77.687
1987-04-01,77.820
1987-05-01,77.965
1987-06-01,78.683
1987-07-01,78.993
1987-08-01,78.946
1987-09-01,79.041
1987-10-01,78.872
1987-11-01,79.017
1987-12-01,79.360
1988-01-01,79.503
1988-02-01,79.431
1988-03-01,79.245
1988-04-01,79.663
1988-05-01,79.952
1988-06-01,80.176
1988-07-01,80.512
1988-08-01,80.706
1988-09-01,80.627
1988-10-01,80.733
1988-11-01,80.612
1988-12-01,80.900
1989-01-01,80.565
1989-02-01,80.988
1989-03-01,81.612
1989-04-01,81.970
1989-05-01,82.351
1989-06-01,81.957
1989-07-01,81.868
1989-08-01,81.235
1989-09-01,81.670
1989-10-01,81.943
1989-11-01,82.297
1989-12-01,82.148
1990-01-01,82.432
1990-02-01,82.744
1990-03-01,83.123
1990-04-01,82.748
1990-05-01,82.724
1990-06-01,82.443
1990-07-01,82.634
1990-08-01,82.430
1990-09-01,82.080
1990-10-01,81.669
1990-11-01,81.507
1990-12-01,81.779
1991-01-01,81.935
1991-02-01,82.124
1991-03-01,81.552
1991-04-01,81.545
1991-05-01,81.281
1991-06-01,81.663
1991-07-01,81.716
1991-08-01,81.895
1991-09-01,81.520
1991-10-01,81.396
1991-11-01,81.575
1991-12-01,81.805
1992-01-01,81.677
1992-02-01,80.758
1992-03-01,80.416
1992-04-01,80.717
1992-05-01,81.038
1992-06-01,81.131
1992-07-01,80.626
1992-08-01,80.385
1992-09-01,80.340
1992-10-01,81.315
1992-11-01,81.704
1992-12-01,81.577
1993-01-01,81.513
1993-02-01,81.541
1993-03-01,82.097
1993-04-01,82.494
1993-05-01,82.589
1993-06-01,82.286
1993-07-01,82.266
1993-08-01,82.613
1993-09-01,83.358
1993-10-01,83.673
1993-11-01,83.437
1993-12-01,82.879
1994-01-01,82.944
1994-02-01,83.493
1994-03-01,83.960
1994-04-01,83.910
1994-05-01,83.983
1994-06-01,83.959
1994-07-01,84.708
1994-08-01,85.020
1994-09-01,85.094
1994-10-01,84.810
1994-11-01,84.830
1994-12-01,85.286
1995-01-01,85.983
1995-02-01,85.883
1995-03-01,85.713
1995-04-01,85.716
1995-05-01,85.853
1995-06-01,86.410
1995-07-01,86.614
1995-08-01,86.846
1995-09-01,86.919
1995-10-01,87.100
1995-11-01,87.273
1995-12-01,87.133
1996-01-01,87.217
1996-02-01,87.385
1996-03-01,87.856
1996-04-01,87.997
1996-05-01,87.934
1996-06-01,87.876
1996-07-01,87.761
1996-08-01,87.895
1996-09-01,87.785
1996-10-01,88.213
1996-11-01,88.295
1996-12-01,88.725
1997-01-01,88.648
1997-02-01,88.647
1997-03-01,87.955
1997-04-01,88.441
1997-05-01,88.706
1997-06-01,88.818
1997-07-01,88.918
1997-08-01,89.229
1997-09-01,89.440
1997-10-01,89.514
1997-11-01,89.720
1997-12-01,90.087
1998-01-01,90.775
1998-02-01,91.082
1998-03-01,91.394
1998-04-01,91.490
1998-05-01,91.597
1998-06-01,91.883
1998-07-01,92.425
1998-08-01,92.674
1998-09-01,93.234
1998-10-01,93.274
1998-11-01,93.806
1998-12-01,93.786
1999-01-01,94.090
1999-02-01,94.463
1999-03-01,94.860
1999-04-01,95.468
1999-05-01,96.141
1999-06-01,96.559
1999-07-01,97.086
1999-08-01,97.446
1999-09-01,97.990
1999-10-01,98.666
1999-11-01,98.966
1999-12-01,99.685
2000-01-01,100.076
2000-02-01,100.789
2000-03-01,101.447
2000-04-01,102.306
2000-05-01,103.391
2000-06-01,104.227
2000-07-01,105.031
2000-08-01,105.414
2000-09-01,105.906
2000-10-01,106.509
2000-11-01,108.189
2000-12-01,109.808
2001-01-01,110.898
2001-02-01,111.706
2001-03-01,112.415
2001-04-01,113.452
2001-05-01,113.764
2001-06-01,115.199
2001-07-01,116.156
2001-08-01,117.846
2001-09-01,118.125
2001-10-01,118.876
2001-11-01,119.544
2001-12-01,119.885
2002-01-01,120.396
2002-02-01,120.700
2002-03-01,122.958
2002-04-01,123.707
2002-05-01,124.950
2002-06-01,125.598
2002-07-01,126.853
2002-08-01,127.754
2002-09-01,128.574
2002-10-01,129.201
2002-11-01,130.257
2002-12-01,131.830
2003-01-01,133.271
2003-02-01,134.662
2003-03-01,135.520
2003-04-01,136.627
2003-05-01,138.117
2003-06-01,138.666
2003-07-01,139.352
2003-08-01,139.700
2003-09-01,141.865
2003-10-01,143.285
2003-11-01,144.876
2003-12-01,145.233
2004-01-01,147.999
2004-02-01,149.513
2004-03-01,152.669
2004-04-01,153.228
2004-05-01,155.363
2004-06-01,157.834
2004-07-01,159.950
2004-08-01,162.579
2004-09-01,165.083
2004-10-01,167.960
2004-11-01,170.588
2004-12-01,173.570
2005-01-01,177.242
2005-02-01,180.836
2005-03-01,185.266
2005-04-01,188.447
2005-05-01,192.007
2005-06-01,196.802
2005-07-01,201.115
2005-08-01,206.391
2005-09-01,211.713
2005-10-01,217.891
2005-11-01,222.575
2005-12-01,226.003
2006-01-01,229.524
2006-02-01,232.286
2006-03-01,235.978
2006-04-01,237.948
2006-05-01,239.004
2006-06-01,237.965
2006-07-01,236.936
2006-08-01,235.467
2006-09-01,234.138
2006-10-01,232.366
2006-11-01,231.315
2006-12-01,230.107
2007-01-01,229.759
2007-02-01,230.445
2007-03-01,229.577
2007-04-01,226.677
2007-05-01,223.085
2007-06-01,219.442
2007-07-01,215.466
2007-08-01,211.128
2007-09-01,207.493
2007-10-01,204.737
2007-11-01,202.052
2007-12-01,199.532
2008-01-01,195.861
2008-02-01,190.786
2008-03-01,185.195
2008-04-01,180.891
2008-05-01,178.068
2008-06-01,174.935
2008-07-01,173.143
2008-08-01,172.319
2008-09-01,168.710
2008-10-01,164.020
2008-11-01,159.873
2008-12-01,155.750
2009-01-01,150.525
2009-02-01,147.491
2009-03-01,144.104
2009-04-01,142.434
2009-05-01,140.983
2009-06-01,140.391
2009-07-01,140.862
2009-08-01,141.411
2009-09-01,140.304
2009-10-01,139.058
2009-11-01,139.028
2009-12-01,138.883
2010-01-01,139.662
2010-02-01,138.908
2010-03-01,139.087
2010-04-01,138.989
2010-05-01,138.787
2010-06-01,137.696
2010-07-01,136.038
2010-08-01,135.379
2010-09-01,134.349
2010-10-01,133.839
2010-11-01,133.177
2010-12-01,130.996
2011-01-01,130.535
2011-02-01,130.046
2011-03-01,129.025
2011-04-01,127.979
2011-05-01,127.288
2011-06-01,127.403
2011-07-01,127.349
2011-08-01,127.437
2011-09-01,125.550
2011-10-01,125.789
2011-11-01,125.211
2011-12-01,125.630
2012-01-01,125.624
2012-02-01,126.267
2012-03-01,127.059
2012-04-01,128.920
2012-05-01,130.372
2012-06-01,131.674
2012-07-01,132.195
2012-08-01,132.942
2012-09-01,133.161
2012-10-01,133.322
2012-11-01,133.852
2012-12-01,134.689
2013-01-01,137.040
2013-02-01,138.699
2013-03-01,141.507
2013-04-01,143.180
2013-05-01,144.443
2013-06-01,146.485
2013-07-01,149.114
2013-08-01,152.069
2013-09-01,152.925
2013-10-01,153.775
2013-11-01,154.881
2013-12-01,155.907
2014-01-01,157.269
2014-02-01,156.883
2014-03-01,156.185
2014-04-01,157.375
2014-05-01,158.956
2014-06-01,159.999
2014-07-01,160.271
2014-08-01,160.792
2014-09-01,161.589
2014-10-01,163.265
2014-11-01,165.142
2014-12-01,165.577
2015-01-01,165.899
2015-02-01,166.851
2015-03-01,168.207
2015-04-01,168.685
2015-05-01,168.915
2015-06-01,168.944
2015-07-01,169.904
2015-08-01,171.003
2015-09-01,172.294
2015-10-01,173.703
2015-11-01,174.862
2015-12-01,176.710
2016-01-01,177.860
2016-02-01,179.341
2016-03-01,180.246
2016-04-01,181.273
2016-05-01,181.894
2016-06-01,182.486
2016-07-01,183.197
2016-08-01,184.237
2016-09-01,185.449
2016-10-01,187.288
2016-11-01,188.815
2016-12-01,191.335
2017-01-01,192.219
2017-02-01,192.271
2017-03-01,192.157
2017-04-01,193.179
2017-05-01,194.733
2017-06-01,195.403
2017-07-01,196.436
2017-08-01,197.025
2017-09-01,198.868
2017-10-01,200.009
2017-11-01,202.035
2017-12-01,203.249
2018-01-01,204.987
2018-02-01,205.792
2018-03-01,206.454
2018-04-01,206.892
2018-05-01,207.522
2018-06-01,208.861
2018-07-01,209.882
2018-08-01,210.905
2018-09-01,212.083
2018-10-01,212.683
2018-11-01,213.463
2018-12-01,214.040
2019-01-01,215.489
2019-02-01,217.016
2019-03-01,217.376
2019-04-01,218.259
2019-05-01,218.086
2019-06-01,218.504
2019-07-01,219.129
2019-08-01,219.859
2019-09-01,221.354
2019-10-01,222.917
2019-11-01,224.252
2019-12-01,225.545
2020-01-01,226.506
2020-02-01,228.091
2020-03-01,229.592
2020-04-01,230.662
2020-05-01,230.676
2020-06-01,230.764
2020-07-01,231.646
2020-08-01,234.484
2020-09-01,237.661
2020-10-01,241.900
2020-11-01,245.766
2020-12-01,250.109
2021-01-01,254.278
2021-02-01,257.961
2021-03-01,261.534
2021-04-01,266.284
2021-05-01,271.985
2021-06-01,279.887
2021-07-01,287.673
2021-08-01,294.922
2021-09-01,303.187
2021-10-01,309.760
2021-11-01,317.259
2021-12-01,324.046
2022-01-01,333.300
2022-02-01,342.613
2022-03-01,352.990
2022-04-01,362.210
2022-05-01,370.304
2022-06-01,377.548
2022-07-01,379.064
2022-08-01,377.927
2022-09-01,375.006
2022-10-01,373.288
2022-11-01,371.004
2022-12-01,369.466
2023-01-01,368.780
2023-02-01,369.358
2023-03-01,370.355
2023-04-01,371.242
2023-05-01,372.578
2023-06-01,373.585
2023-07-01,375.637
2023-08-01,377.771
2023-09-01,380.332
2023-10-01,381.732
2023-11-01,383.782
2023-12-01,384.940
2024-01-01,386.004
2024-02-01,385.262
2024-03-01,384.283
2024-04-01,384.470
2024-05-01,384.830
2024-06-01,384.826
2024-07-01,383.824
