Date,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20,National-US
1987-01-01,63.388,59.331,64.115,66.358,50.196,46.613,54.668,53.531,100.000,0.000,58.244,77.334,68.499,53.546,63.129,67.544,58.233,100.000,41.055,,62.824,74.422,70.042
1987-02-01,63.936,59.646,64.775,67.030,49.958,46.868,54.891,53.499,101.823,0.000,57.763,77.933,68.764,54.640,62.811,67.429,59.977,100.757,41.283,,63.386,75.426,70.084
1987-03-01,64.171,59.986,65.712,67.335,50.146,47.320,55.162,53.680,102.037,0.000,57.629,77.761,69.231,54.802,62.432,67.711,62.294,101.945,41.057,,63.874,76.250,70.003
1987-04-01,64.813,60.806,66.396,67.882,50.554,47.693,55.854,53.754,103.201,0.000,57.850,77.556,69.199,54.880,63.031,67.654,65.092,103.501,40.962,,64.568,77.338,70.698
1987-05-01,65.182,61.671,67.268,67.899,50.625,48.315,56.351,54.714,104.114,0.000,58.364,77.849,69.457,55.426,63.314,67.898,66.825,105.197,41.243,,65.565,79.162,71.510
1987-06-01,65.547,62.708,68.697,66.477,50.501,48.832,56.858,55.121,104.278,0.000,58.901,78.710,69.312,56.389,63.886,67.662,68.063,106.757,41.449,,66.591,80.840,72.320
1987-07-01,65.760,63.662,69.787,65.433,50.277,49.486,57.262,55.740,104.663,0.000,59.290,79.111,69.696,57.541,63.850,67.564,68.299,107.774,41.817,,67.538,82.219,73.093
1987-08-01,66.075,64.558,70.616,65.136,50.380,49.938,57.692,56.103,105.038,0.000,59.646,79.145,70.156,58.374,64.066,67.281,68.607,108.635,41.904,,68.248,83.014,73.792
1987-09-01,66.468,65.381,71.794,65.855,50.178,50.690,58.138,56.509,105.730,0.000,59.698,79.240,70.946,58.852,63.998,67.139,68.134,109.349,41.800,,68.874,83.439,74.390
1987-10-01,66.768,66.197,72.566,66.210,50.383,51.331,58.526,56.608,105.693,0.000,59.842,79.085,71.283,59.317,64.214,66.684,67.586,110.043,41.857,,69.417,83.880,74.634
1987-11-01,67.087,66.945,73.179,67.046,49.887,51.796,59.023,56.603,106.194,0.000,59.709,79.054,71.504,59.343,64.420,66.520,66.875,110.808,41.673,,69.760,84.018,74.829
1987-12-01,67.188,67.908,73.425,66.656,49.855,52.032,59.401,56.379,106.200,0.000,59.778,79.154,71.413,60.305,64.353,66.407,66.384,111.582,41.875,,70.217,84.413,74.745
1988-01-01,67.608,68.661,74.067,66.639,49.346,52.241,59.864,56.437,106.493,0.000,59.564,79.361,71.655,61.195,63.843,66.556,65.528,112.388,41.607,,70.445,84.120,74.401
1988-02-01,67.438,69.359,74.883,65.894,49.266,52.637,60.123,56.454,107.094,0.000,59.473,79.213,71.676,62.783,63.660,66.512,64.598,113.073,41.479,,70.768,83.924,74.021
1988-03-01,67.949,70.138,76.035,66.263,48.847,53.185,60.874,57.165,108.335,0.000,59.558,79.263,72.195,64.448,63.977,66.440,64.467,114.144,41.853,,71.120,83.484,73.400
1988-04-01,67.792,70.832,77.016,67.114,48.584,54.192,61.190,57.656,109.770,0.000,60.161,79.439,72.474,65.219,64.442,66.478,65.091,115.292,42.097,,71.651,83.708,73.780
1988-05-01,67.921,72.031,78.194,67.514,48.220,56.094,61.681,58.251,110.450,0.000,60.612,79.882,72.761,65.535,64.727,66.436,66.025,116.242,42.580,,72.477,84.226,74.460
1988-06-01,68.139,74.354,79.563,67.184,48.272,58.218,61.543,59.228,111.204,0.000,60.924,80.248,73.547,66.846,64.721,66.563,66.681,117.293,42.754,,73.631,84.592,75.068
1988-07-01,68.644,77.225,81.254,67.360,48.325,58.702,64.810,59.701,111.116,0.000,61.148,80.739,74.130,67.073,64.631,66.605,66.933,118.203,43.094,,74.807,85.024,75.526
1988-08-01,69.674,79.274,82.347,68.107,48.520,59.005,65.641,60.320,111.389,0.000,61.509,80.954,75.021,68.656,64.337,66.580,67.037,119.086,43.537,,75.696,85.331,75.467
1988-09-01,69.931,81.230,83.592,69.062,48.369,59.502,66.450,60.595,111.221,0.000,61.676,80.781,75.626,68.708,64.261,66.253,66.990,119.837,43.719,,76.404,85.541,75.383
1988-10-01,70.102,82.936,83.943,69.193,48.271,60.375,67.474,60.837,111.426,0.000,61.551,80.843,75.863,69.370,64.506,65.931,66.479,120.305,44.017,,76.896,85.141,75.252
1988-11-01,69.562,84.694,84.676,68.640,47.859,61.313,68.619,60.881,111.369,0.000,61.358,80.609,76.093,68.267,64.404,65.410,66.131,120.534,44.053,,77.281,84.816,75.015
1988-12-01,69.696,85.972,85.739,67.980,47.360,62.198,69.843,61.057,111.619,0.000,61.436,80.736,76.189,67.695,64.502,65.356,65.705,120.434,44.236,,77.577,84.326,74.791
1989-01-01,69.758,87.299,86.497,68.728,47.230,62.662,70.961,61.408,111.763,0.000,61.360,80.407,76.594,67.460,64.213,65.257,65.609,120.641,44.262,,77.986,84.317,74.225
1989-02-01,70.231,88.275,87.336,69.115,47.207,63.318,72.272,61.247,111.398,0.000,61.317,80.726,76.817,68.322,64.201,65.294,65.545,121.064,44.572,,78.363,83.771,74.591
1989-03-01,70.525,90.337,88.139,69.966,47.332,64.644,73.921,61.373,112.367,0.000,61.202,81.568,76.998,69.927,64.193,64.604,66.178,122.305,44.564,,79.117,83.274,74.479
1989-04-01,70.674,92.113,88.990,69.606,47.335,66.265,75.448,61.566,113.142,0.000,61.576,81.798,77.319,70.681,64.304,64.353,66.873,123.919,45.001,,79.826,82.945,74.629
1989-05-01,71.132,93.977,89.617,69.641,47.485,67.769,76.829,62.630,113.812,0.000,62.065,82.342,77.194,70.481,64.750,64.373,67.571,125.863,45.444,,80.516,82.969,74.728
1989-06-01,71.519,95.548,90.480,71.186,47.733,69.259,78.308,63.127,113.962,0.000,62.743,82.064,77.681,70.915,64.955,64.879,67.903,127.817,46.103,,81.236,82.953,74.632
1989-07-01,71.788,96.705,91.260,71.557,47.644,70.275,79.359,63.776,113.977,0.000,63.206,82.127,78.048,70.887,65.655,65.505,67.981,129.656,46.504,,81.655,82.672,74.676
