Date,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20,National-US
1987-01-01,41.305,58.421,63.493,54.206,67.568,63.104,100.713,70.267,54.794,,74.678,100.590,54.057,77.442,69.619,50.348,46.956,58.885,63.559,59.426,66.419,64.410,68.548
1987-02-01,41.444,58.132,63.152,55.227,67.621,63.805,103.037,70.641,55.215,,76.044,101.692,54.229,78.100,69.470,50.160,47.303,60.962,64.029,59.895,67.574,65.132,68.919
1987-03-01,41.415,58.154,62.693,54.811,67.924,64.426,102.709,71.047,55.488,,77.237,102.784,54.366,77.687,69.325,50.383,47.840,62.953,64.105,60.401,67.850,65.998,69.388
1987-04-01,41.274,58.215,63.083,54.802,67.965,65.063,103.277,71.412,56.050,,78.282,103.996,54.155,77.820,69.719,50.745,47.984,65.457,64.893,61.324,68.186,66.639,69.463
1987-05-01,41.395,58.514,63.184,55.477,68.069,65.815,103.715,71.883,56.462,,79.675,105.253,54.726,77.965,69.797,50.764,48.305,66.553,65.223,62.031,67.927,67.445,69.746
1987-06-01,41.433,58.806,63.743,56.060,67.696,66.477,103.615,72.296,56.788,,80.840,106.403,54.881,78.683,70.053,50.432,48.606,67.423,65.561,62.777,66.799,68.517,69.474
1987-07-01,41.557,59.040,63.556,57.109,67.340,67.121,104.048,72.621,57.076,,81.695,107.134,55.288,78.993,69.915,50.204,49.085,67.578,65.723,63.456,65.763,69.387,69.642
1987-08-01,41.599,59.195,63.798,57.612,66.948,67.714,104.358,73.163,57.380,,82.220,107.861,55.444,78.946,70.088,50.121,49.543,67.853,65.873,64.131,65.032,70.254,69.805
1987-09-01,41.541,59.291,63.893,58.270,66.823,68.354,105.076,73.749,57.843,,82.384,108.610,55.842,79.041,70.040,50.058,50.241,67.511,66.273,64.894,65.277,71.396,70.568
1987-10-01,41.629,59.540,64.121,59.006,66.560,68.992,105.511,74.007,58.296,,83.156,109.487,56.128,78.872,70.142,50.146,50.993,67.255,66.593,65.772,65.512,72.318,71.020
